Title,Status,Package,Listed,Ended,Sale Price,Fees,DC Net ($)
2021 TOPPS NOW UEFA CHAMPIONS LEAGUE CRISTIANO RONALDO MAN U Portugal,Sent,DCS-2026-07-24,nan,nan,0,0,0
2023 Topps Chrome Logofractor Edition #1 Juan Soto Yellow #/75 PSA Mets,Sent,DCS-2026-07-24,nan,nan,0,0,0
2023 Topps PRISTINE PIERRE-EMILE HØJBJERG #28 Orange Refractor Denmark #/25,Sent,DCS-2026-07-24,nan,nan,0,0,0
2023-24 Finest UEFA Club Competitions CHADI RIAD #A-RI Base Autos Betis,Sent,DCS-2026-07-24,nan,nan,0,0,0
2024 Panini Prizm Draft PICKS STEPHON CASTLE #17b Connecticut Huskies,Sent,DCS-2026-07-24,nan,nan,0,0,0
2024-25 Panini Donruss Optic JALEN BRUNSON #12 My House Knicks Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2024-25 Panini Donruss Optic STEPHON CASTLE #16 My House Holo RC Spurs Rookie,Sent,DCS-2026-07-24,nan,nan,0,0,0
2024-25 Panini Donruss VICTOR WEMBANYAMA #6 Holo Green Laser Spurs Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2024-25 Panini Prizm MONOPOLY STEPHON CASTLE #75 RC Spurs Rookie Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman 1st Chrome CHARLES MCADOO #BCP-150 Reptilian Green Refractor /99,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman CHET HOLMGREN #BCV-108 Chrome Reptilian Green Ref /99 Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman Chrome - Meteoric Rise JESUS MADE #MR-3 Milwaukee Brewers,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman Chrome JESUS MADE #MR-3 Meteoric Rise Brewers,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman Draft ELI WILLITS #BIA-1 In Action Mojo Refractor Nationals,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman Draft JARED THOMAS #BDC-147 Chrome Yellow Cracked Ice Refractor /75,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman Draft JARED THOMAS #BDC-147 Chrome Yellow Geometric Refractor /75,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman SEAVER King #BCP-93 Chrome Prospects Reptilian Gold Refractor /50,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman's Best #13 Spencer Schwellenbach Blue Refractor 142/150 Braves,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman's Best CORBIN CARROLL #BP-3 Performance Mini Diamond Refractor,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman's Best JESUS MADE #BP-20 Performance Brewers,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman's Best Leo De Vries #TP-26 Top Prospects Purple Lazer Refractor /250,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman's Best MARCELO MAYER #BS-3 Showpieces Mini Diamond Ref RC Rookie,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Bowman's Best MIKE TROUT #BP-22 Performance Angels,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Panini PHOENIX CAM WARD #194 Silver Pyramids Prizm RC Titans Rookie,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Topps Chrome BRIAN THOMAS JR. #135 Gold Geometric Ref /50 Jaguars Football,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Topps Chrome MLS Sapphire LEONARDO BARROSO #182 Orange Ref /25 RC Rookie,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Topps Finest TYLER SHOUGH #3 Green Refractor /75 RC Saints Rookie Football,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025 Topps Now MLS LIONEL MESSI #23 Inter Miami World Cup,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025-26 Bowman ACE FLAGG #BCP-91 Chrome Reptilian Refractor 1st Prospect Bears,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025-26 Bowman ANTHONY DAVIS #131 Orange Border /25 Mavericks Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025-26 Bowman JARED MCCAIN #BCV-65 Chrome Reptilian Refractor 76ers Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025-26 Topps Finest MATAS BUZELIS #236 Rare Blue Ref 54/99 Bulls Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025-26 Topps VICTOR WEMBANYAMA #195 Season Tip-Off Spurs Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Bowman FELNIN CELESTEN #BCP-57 Chrome Reptilian Blue Refractor /150,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Bowman JHONNY LEVEL #BTP-76 Scouts Top 100 Chrome Mini-Diamond /150,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Bowman Mega Box JAC CAGLIANONE #75 Chrome Purple Mojo Ref /250 RC Rookie,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Bowman ROMAN ANTHONY #BST-12 Sterling Chrome RC Red Sox Rookie,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Bowman Sapphire LEO DE VRIES #BCP-63 Chrome Prospects Athletics,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Bowman TYLER BREMNER #BCP-9 Chrome Prospects Aqua Shimmer Refractor /125,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 TOPPS COLLECTOR'S KIT EXCLUSIVE SHOHEI OHTANI WAVE FOIL,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Topps Collector's Kit Exclusive VICTOR WEMBANYAMA #NBA-7 Wave Foil Spurs,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Topps JONAH TONG #4 Sandglitter RC Mets Rookie,Sent,DCS-2026-07-24,nan,nan,0,0,0
2026 Topps Now MUNETAKA MURAKAMI #52 White Sox,Sent,DCS-2026-07-24,nan,nan,0,0,0
DUSAN VLAHOVIC 2023-24 Panini Select FIFA Field Level Gold Prizm 09/10 Jersey No,Sent,DCS-2026-07-24,nan,nan,0,0,0
KARIM ADEYEMI 2024-25 Topps UEFA Club Competitions Orange /25 Dortmund,Sent,DCS-2026-07-24,nan,nan,0,0,0
STEPHON CASTLE 2024-25 Panini Prizm Monopoly #75 San Antonio Spurs Basketball,Sent,DCS-2026-07-24,nan,nan,0,0,0
2025-26 Topps Chrome Kon Knueppel RC Rookie #254 Hornets PSA 10 GEM MINT,Paid,272732,07/24/2026,07/29/2026,133.5,19.34,114.16
2022 Panini Prizm Mike Trout Illumination Blue Mojo #/199 Angels PSA 9,Paid,272732,07/24/2026,07/29/2026,31,6.02,24.98
2022 Topps Chrome Ronald Acuna Jr. Blue Wave Refractor #/75 Braves PSA 9,AwaitingPayment,272732,07/24/2026,07/29/2026,21.5,5.86,15.64
2024 Topps Five Star Austin Wells RC Green Rookie Auto Autograph #/15 Yankees,AwaitingPayment,272732,07/24/2026,07/29/2026,16.5,4.96,11.54
2024 Topps Update Pete Crow-Armstrong RC Green Crackle Foilboard #/499 Cubs,AwaitingPayment,272732,07/24/2026,07/29/2026,29,5.76,23.24
2025 Bowman Luke Sinnard Chrome Black Geometric Refractor 1st #/10 Braves,Paid,272732,07/24/2026,07/29/2026,67,10.7,56.3
2025 Bowman Chrome Mega Box Chase Dollander RC Black Mojo Refractor #/10 Rockies,AwaitingPayment,272732,07/24/2026,07/29/2026,34,6.41,27.59
2025 Bowman Draft Eli Willits In Action Green Mojo Refractor #/99 Nationals,AwaitingPayment,272732,07/24/2026,07/29/2026,8.5,3.69,4.81
2026 Bowman Leo De Vries Chrome Prospect Auto Purple Refractor #/250 Athletics,AwaitingPayment,272732,07/24/2026,07/29/2026,82.75,12.75,70
2025 Bowman Chrome Paul Skenes Blue Wave Refractor #/150 Pirates,AwaitingPayment,272732,07/24/2026,07/29/2026,18.97,5.4,13.57
2025-26 Topps Finest Kon Knueppel Rare RC Sky Blue Refractor #/150 Hornets,Paid,272732,07/24/2026,07/29/2026,75,11.74,63.26
2021-22 Panini NBA Player of the Day Bill Russell Kaboom SSP #/99 Celtics,AwaitingPayment,272732,07/24/2026,07/29/2026,21.5,5.86,15.64
2026 Topps Caleb Durbin Red Rainbow Foil #/5 Brewers,AwaitingPayment,272732,07/24/2026,07/29/2026,17.5,5.14,12.36
2025 Bowman's Best Konnor Griffin Top Prospects Purple Mojo Refractor #/250,Paid,272732,07/24/2026,07/29/2026,18,5.23,12.77
2025-26 Topps Chrome Stephen Curry Sleek Finishers Blue Refractor #/150 Warriors,Paid,272732,07/24/2026,07/29/2026,48,8.23,39.77
2024-25 Topps UEFA Cristiano Ronaldo Ultimate Stage Chrome #USC-28 Real Madrid,Paid,272732,07/24/2026,07/29/2026,60,9.79,50.21
2025 Bowman's Best Jac Caglianone Top Prospects Blue Refractor #/150 Royals,Paid,272732,07/24/2026,07/29/2026,21.05,5.78,15.27
2025 Bowman's Best Kevin McGonigle Top Prospects Aqua Lava Refractor #/199,Paid,272732,07/24/2026,07/29/2026,18.5,5.32,13.18
2025 Bowman Draft Ethan Frey Chrome Auto Refractor 1st Prospect #/499 Astros,AwaitingPayment,272732,07/24/2026,07/29/2026,31,6.02,24.98
2025 Bowman's Best Roman Anthony Performance Mini Diamond Refractor #BP-19,AwaitingPayment,272732,07/24/2026,07/29/2026,26,5.37,20.63
