CustomLabel,Title,CurrentPrice,NewPrice
CDP-388FFD0,2025 Bowman - Bowman SCOUTS Top 100 Marcelo Mayer #BTP-4 (RC) Rookie,1.49,
CDP-B676C2C,2025 Bowman Chrome RECE HINDS #RR-8 (RC) Rockstar Rookies,2.49,
CDP-E37E4FD,2025 Bowman 1st Chrome JHONAYKER UGARTE #BCP-123 (RC) Royals Rookie,2.99,
CDP-067FF8D,2025 Bowman Chrome KUMAR ROCKER ROY-5 TEXAS RANGERS,2.49,
CDP-E74F701,2025 Topps Heritage Baseball #92 Bobby Witt Jr. 👑Kansas City Royals👑,1.99,
CDP-4895D6C,2025 Bowman CONNOR NORBY #46 (RC) Marlins Rookie,2.49,
CDP-B954CB1,2025 Topps Series 1 RONALD ACUÑA JR. #TG-16 Training Grounds Braves,1.49,
CDP-4C8AF73,2025 Topps 2024's GREATEST HITS #GH-27 Wyatt Langford Texas Rangers,1.99,
CDP-2EE740C,2025 Topps Series 1 MOOKIE BETTS 1990 Topps Baseball #T90-60 Dodgers,2.49,
CDP-E406302,2025 Bowman LUISANGEL ACUNA #83 (RC) Mets Rookie,2.99,
CDP-BCA0188,2025 Topps Heritage GAVIN SHEETS #464 SP High Number White Sox,2.99,
CDP-5A832E6,2025 Topps Heritage SHOTA IMANAGA #399 Cubs Trophy Topps All Star Rookie RC,2.49,
CDP-873C3B7,2025 Topps Hobby RIP NIGHT DYLAN CREWS #7 (RC) Nationals Rookie,2.99,
BB-1088,2025 Bowman DYLAN CREWS #42 (RC) Nationals Rookie,2.99,
CDP-0C468E9,2025 Bowman Chrome 1st JESUS LOPEZ #BCP-88 (RC) Texas Rangers Rookie,2.49,
CDP-0DF639F,2025 Bowman - ROKI SASAKI #12 (RC) Dodgers Rookie,2.49,
CDP-FA1C711,TREY BENSON 2024 Topps Chrome Youthquake Insert Rookie Card #Y23 Cardinals RC,2.99,
CDP-6EFF6D8,2025 Topps Heritage KRIS BRYANT #20 Chrome Rockies,2.99,
CDP-45443B4,2025 Topps Heritage Chrome Blue SPARKLE Refractor #450 Zac Gallen Diamondbacks,2.25,
CDP-E58437A,2024 Topps Update Series JACKSON HOLLIDAY Rookie Debut #US97 (RC),2.99,
CDP-16A2272,2025 Topps Series 1 - Stars of Mlb FERNANDO TATÍS JR. #SMLB-4,1.5,
CDP-B7ADC61,2025 Bowman - Chrome Prospects SEBASTIAN WALCOTT #BCP-133 (RC) Rookie,3.49,
CDP-E1FACCB,2025 Topps Hobby RIP NIGHT - Elly De La Cruz #11 Red,1.95,
CDP-83CFBA3,2025 Topps Series 1 ELLY DE LA CRUZ #SMLB-13 Stars Of MLB,2.49,
CDP-9239DEE,2024 Bowman - Prospects MAX CLARK #BD-104 (RC) Tigers Rookie,1.49,
CDP-976C2EF,2025 Topps Hobby RIP NIGHT - Jackson Holliday #6 Orioles,1.49,
CDP-9B6E407,2025 Topps Series 1 - BOBBY WITT JR. #GH-6 Royals Greatest Hits 2024,2.49,
CDP-48F38D8,2025 Topps Series 1 RICKEY HENDERSON #T90-46 A’s,2.49,
CDP-B828793,2025 Bowman LUISANGEL ACUNA METS GREATNESS LOADING #GL-11,2.99,
CDP-B171402,2025 Bowman Chrome 1st Reptilian Refractor ESTEBAN GONZALEZ #BCP-70 Guardians,3.49,
CDP-F8D7E89,2022 Topps Chrome FORMULA 1 - F1 Racers Lewis Hamilton #6 Checker Flag Refractor,4.99,
CDP-82761AF,2024 Bowman University Chrome - ERIC SINGLETON JR. #71 Fuchsia Georgia Tech,3.99,
CDP-F8B5729,2025 Topps Heritage - JOEY CANTILLO #104 Chrome Blue Sparkle (RC) Rookie,1.99,
BS-1003,2025 Bowman - Chrome Prospects JHONAYKER UGARTE #BCP-123 (RC) Royals Rookie,2.49,
BS-1004,2025 Bowman JAMES WOOD #29 (RC) Nationals Rookie,2.49,
