#,Title,SKU,eBay Price,eBay Item #
1,2021 TOPPS NOW UEFA CHAMPIONS LEAGUE CRISTIANO RONALDO MAN U Portugal,Whatnot_06_-_06-18-26-00007-126434,$8.19,227395202196
2,2022 Panini Prizm Draft Picks Jacob Misiorowski #PDP63 Neon Pink Velocity,BB-Corbin_-07-03-26_$145-00002-717337,$22.99,227415740922
3,2023 Bowman Chrome Sapphire FRANCISCO ALVAREZ #35 Aqua /99 RC Mets Rookie,BB_Anthony_Marks_Whatnot_06-30-26-00004-235752,$9.99,227410583404
4,2023 Topps Chrome Logofractor Edition #1 Juan Soto Yellow #/75 PSA Mets,CDP-E35280F,$40.89,226817153337
5,2023 Topps PRISTINE PIERRE-EMILE HØJBJERG #28 Orange Refractor Denmark #/25,VAS-MS000371-kdzov,$21.49,227001121707
6,2023-24 Finest UEFA Club Competitions CHADI RIAD #A-RI Base Autos Betis,j9xok,$5.45,226951102691
7,2024 Panini Prizm Draft PICKS STEPHON CASTLE #17b Connecticut Huskies,VAS-MS000461-kehbr,$3.99,227001669046
8,2024-25 Panini Donruss Optic JALEN BRUNSON #12 My House Knicks Basketball,Refresh-0002-00012-89406,$3.99,227294097643
9,2024-25 Panini Donruss Optic STEPHON CASTLE #16 My House Holo RC Spurs Rookie,RB_Batch-0006-00033-33760,$5.99,227298296753
10,2024-25 Panini Donruss VICTOR WEMBANYAMA #6 Holo Green Laser Spurs Basketball,DREAMRP-0001-00007-28754,$12.59,227317101609
11,2024-25 Panini Prizm MONOPOLY STEPHON CASTLE #75 RC Spurs Rookie Basketball,RBM-0001-00019-67085,$3.49,227284669275
12,2024-25 Topps Chrome VICTOR WEMBANYAMA #193 Pink Refractor Spurs,BB-070326-0003,$35.99,227415753360
13,2025 Bowman 1st Chrome CHARLES MCADOO #BCP-150 Reptilian Green Refractor /99,Girks_BB_-_06-27-26-00007-298179,$9.99,227406365912
14,2025 Bowman CHARLES MCADOO #BCP-150 Chrome Aqua X-Fractor /125 1st Prospect,BB_Anthony_Marks_Whatnot_06-30-26-00005-853276,$8.00,227410583434
15,2025 Bowman CHET HOLMGREN #BCV-108 Chrome Reptilian Green Ref /99 Basketball,Chromebox-0001-00020-24166,$55.39,227319142104
16,2025 Bowman Chrome - Meteoric Rise JESUS MADE #MR-3 Milwaukee Brewers,BAS-002326-o0kjs,$2.99,227434693462
17,2025 Bowman Chrome JESUS MADE #MR-3 Meteoric Rise Brewers,RBM-0002-00008-56373,$4.99,227289656424
18,2025 Bowman Draft CODY MILLER #CPA-CM Chrome Auto Blue Refractor /150 Braves,CARDSHQBK-0001-00005-87032,$54.49,227368560195
19,2025 Bowman Draft ELI WILLITS #BIA-1 In Action Mojo Refractor Nationals,Whatnot_07_multi_-_06-23-26-00017-461415,$5.49,227401633282
20,2025 Bowman Draft JARED THOMAS #BDC-147 Chrome Yellow Cracked Ice Refractor /75,Refresh-0002-00013-28586,$11.09,227295733103
21,2025 Bowman Draft JARED THOMAS #BDC-147 Chrome Yellow Geometric Refractor /75,MISC-0002-00012-75919,$10.09,227308339412
22,2025 Bowman Draft RILEY KELLY #CPA-RK Chrome Auto Aqua Lava Refractor /199,Whatnot_07_multi_-_06-23-26-00028-531852,$15.79,227401717395
23,2025 Bowman JAMIER JONES #CPA-JO Chrome Auto Refractor /499 1st Prospect,RBBB5-0004-00019-87265,$20.00,227337124254
24,2025 Bowman LEAH MACY #CPA-LM Chrome Auto Refractor /499 1st Prospect,RBBB5-0004-00020-10509,$15.00,227337124135
25,2025 Bowman OTEGA OWEH #CPA-OO Chrome Auto Refractor /499 1st Prospect,RBBB5-0004-00004-33506,$50.00,227337124278
26,2025 Bowman SEAVER King #BCP-93 Chrome Prospects Reptilian Gold Refractor /50,Whatnot_07_multi_-_06-23-26-00001-712326,$14.49,227401633177
27,2025 Bowman's Best #13 Spencer Schwellenbach Blue Refractor 142/150 Braves,RB_Batch-0005-00052-85906,$6.69,227296922123
28,2025 Bowman's Best CAM SMITH #29 Purple Blue Refractor /250 RC Astros Rookie,MISC-0002-00006-95693,$6.79,227308339492
29,2025 Bowman's Best CORBIN CARROLL #8 Aqua Refractor /199 Diamondbacks,MISC-0002-00004-49744,$2.99,227440116336
30,2025 Bowman's Best CORBIN CARROLL #BP-3 Performance Mini Diamond Refractor,RB_Batch-0005-00055-79730,$5.09,227296921656
31,2025 Bowman's Best JESUS MADE #BP-20 Performance Brewers,RB_Batch-0005-00017-01745,$4.99,227296921549
32,2025 Bowman's Best KEVIN MCGONIGLE #TP-28 Top Prospects Refractor Tigers,MISC-0002-00017-11980,$6.19,227312430749
33,2025 Bowman's Best Leo De Vries #TP-26 Top Prospects Purple Lazer Refractor /250,Baseball_-_Rip_-_07-02-26-00001-677212,$10.89,227413850353
34,2025 Bowman's Best MARCELO MAYER #BS-3 Showpieces Mini Diamond Ref RC Rookie,RB_Batch-0005-00020-86355,$14.99,227296921713
35,2025 Bowman's Best MIKE TROUT #BP-22 Performance Angels,RB_Batch-0005-00025-63899,$4.49,227296921800
36,2025 Panini PHOENIX CAM WARD #194 Silver Pyramids Prizm RC Titans Rookie,Whatnot_08_multi_06-28-26-00004-358593,$4.49,227407756668
37,2025 Topps Chrome BRIAN THOMAS JR. #135 Gold Geometric Ref /50 Jaguars Football,Clint_multi_-06-27-26-00003-139647,$69.29,227406370921
38,2025 TOPPS CHROME DERIK QUEEN #NS-DQ REFRACTOR RC AUTO,Multi-07-07-26-00007-89495,$31.99,227421439714
39,2025 Topps Chrome MLS Sapphire LEONARDO BARROSO #182 Orange Ref /25 RC Rookie,Whatnot_06_-_06-18-26-00021-979525,$10.09,227395201766
40,2025 Topps Finest TYLER SHOUGH #3 Green Refractor /75 RC Saints Rookie Football,Clint_multi_-06-27-26-00002-036634,$65.09,227409169249
41,2025 Topps Now MLS LIONEL MESSI #23 Inter Miami World Cup,Whatnot_06_-_06-18-26-00003-231819,$14.99,227395202101
42,2025-26 Bowman ACE FLAGG #BCP-91 Chrome Reptilian Refractor 1st Prospect Bears,Chromebox-0001-00001-14880,$3.39,227319141569
43,2025-26 Bowman ANTHONY DAVIS #131 Orange Border /25 Mavericks Basketball,RBBB5-0002-00042-31699,$15.79,227336199409
44,2025-26 Bowman JARED MCCAIN #BCV-65 Chrome Reptilian Refractor 76ers Basketball,Chromebox-0001-00011-70215,$3.49,227319141760
45,2025-26 Bowman VICTOR WEMBANYAMA #BCV-143 Chrome Mojo Refractor Spurs,BB-070326-0004,$23.99,227415753273
46,2025-26 Finest JOAN BERINGER #217 Sky Blue Ref Timberwolves #/150 Basketball,BBB-000063-tjc0m,$26.29,227258122396
47,2025-26 Finest KEL'EL WARE #BA-KW Baseline Autographs Miami Heat Auto Basketball,BBB-000019-tjbys,$15.89,227258122018
48,2025-26 Finest MALIK MONK #170 Purple X-Fractor Sacramento Kings #/99 Basketball,BBB-000052-tjc06,$6.09,227258122307
49,2025-26 Finest MALIK MONK #170 Sky Blue Ref Sacramento Kings #/250 Basketball,BBB-000050-tjc01,$11.09,227258122304
50,2025-26 Finest ZACH LAVINE #86 Green Refractor Sacramento Kings #/75 Basketball,BBB-000051-tjc02,$4.99,227258122299
51,2025-26 Finest ZACH LAVINE #86 Oil Spill Refractor Sacramento Kings Basketball,BBB-000048-tjbzy,$5.99,227258122285
52,2025-26 Topps Chrome JEREMIAH FEARS #D-7 Destiny RC Pelicans Rookie Basketball,BBA-000100-00017-33342,$2.99,227279715812
53,2025-26 Topps Finest MATAS BUZELIS #236 Rare Blue Ref 54/99 Bulls Basketball,RBM-0002-00021-56785,$45.69,227288927358
54,2025-26 Topps Finest ZACH LAVINE #169 Uncommon Sky Blue Refractor 78/250 Kings,RBM-0002-00022-22017,$10.09,227288927510
55,2025-26 Topps VICTOR WEMBANYAMA #195 Season Tip-Off Spurs Basketball,DREAMRP-0001-00022-23600,$8.99,227317101653
56,2026 Bowman FELNIN CELESTEN #BCP-57 Chrome Reptilian Blue Refractor /150,Girks_BB_-_06-27-26-00006-881021,$5.99,227406366002
