Title,Status,ListingDate,EndingDate,BuyItNow,SalePrice,Fees,Net,FriendlyPackageId,FrontImageUrl
2025-26 Topps Chrome Kon Knueppel RC Rookie #254 Hornets PSA 10 GEM MINT,Paid,07/24/2026 01:54:00 +00:00,07/29/2026 01:54:00 +00:00,FALSE,$133.50 ,$19.34 ,$114.16 ,272732,https://i.ebayimg.com/00/s/MTYwMFg5ODI=/z/2EcAAeSwt4FqYjGK/$_1.JPG?set_id=8800005007
2022 Panini Prizm Mike Trout Illumination Blue Mojo #/199 Angels PSA 9,Paid,07/24/2026 01:48:00 +00:00,07/29/2026 01:48:00 +00:00,FALSE,$31.00 ,$6.02 ,$24.98 ,272732,https://i.ebayimg.com/00/s/MTYwMFg5ODI=/z/HcUAAeSwgblqYjFM/$_1.JPG?set_id=8800005007
2022 Topps Chrome Ronald Acuna Jr. Blue Wave Refractor #/75 Braves PSA 9,AwaitingPayment,07/24/2026 01:42:00 +00:00,07/29/2026 01:42:00 +00:00,FALSE,$21.50 ,$5.86 ,$15.64 ,272732,https://i.ebayimg.com/00/s/MTYwMFg5ODI=/z/e-cAAeSwhQNqYjFL/$_1.JPG?set_id=8800005007
2024 Topps Five Star Austin Wells RC Green Rookie Auto Autograph #/15 Yankees,AwaitingPayment,07/24/2026 01:36:00 +00:00,07/29/2026 01:36:00 +00:00,FALSE,$16.50 ,$4.96 ,$11.54 ,272732,https://i.ebayimg.com/00/s/MTQ0NFgxMTAy/z/D~UAAeSwOk1qYjGG/$_1.JPG?set_id=8800005007
2024 Topps Update Pete Crow-Armstrong RC Green Crackle Foilboard #/499 Cubs,AwaitingPayment,07/24/2026 01:30:00 +00:00,07/29/2026 01:30:00 +00:00,FALSE,$29.00 ,$5.76 ,$23.24 ,272732,https://i.ebayimg.com/00/s/MTQwM1gxMDc3/z/eRIAAeSw0XBqYjFC/$_1.JPG?set_id=8800005007
2025 Bowman Luke Sinnard Chrome Black Geometric Refractor 1st #/10 Braves,Paid,07/24/2026 01:24:00 +00:00,07/29/2026 01:24:00 +00:00,FALSE,$67.00 ,$10.70 ,$56.30 ,272732,https://i.ebayimg.com/00/s/MTQwNVgxMDYw/z/hycAAeSwzGVqYjH8/$_1.JPG?set_id=8800005007
2025 Bowman Chrome Mega Box Chase Dollander RC Black Mojo Refractor #/10 Rockies,AwaitingPayment,07/24/2026 01:18:00 +00:00,07/29/2026 01:18:00 +00:00,FALSE,$34.00 ,$6.41 ,$27.59 ,272732,https://i.ebayimg.com/00/s/MTQwM1gxMDcz/z/7nEAAeSwdJpqYjFE/$_1.JPG?set_id=8800005007
2025 Bowman Draft Eli Willits In Action Green Mojo Refractor #/99 Nationals,AwaitingPayment,07/24/2026 01:12:00 +00:00,07/29/2026 01:12:00 +00:00,FALSE,$8.50 ,$3.69 ,$4.81 ,272732,https://i.ebayimg.com/00/s/MTQwMFgxMDYy/z/VrEAAeSwW0ZqYjE8/$_1.JPG?set_id=8800005007
2026 Bowman Leo De Vries Chrome Prospect Auto Purple Refractor #/250 Athletics,AwaitingPayment,07/24/2026 01:06:00 +00:00,07/29/2026 01:06:00 +00:00,FALSE,$82.75 ,$12.75 ,$70.00 ,272732,https://i.ebayimg.com/00/s/MTM5OFgxMDcw/z/xxsAAeSwh0NqYjE-/$_1.JPG?set_id=8800005007
2025 Bowman Chrome Paul Skenes Blue Wave Refractor #/150 Pirates,AwaitingPayment,07/24/2026 01:00:00 +00:00,07/29/2026 01:00:00 +00:00,FALSE,$18.97 ,$5.40 ,$13.57 ,272732,https://i.ebayimg.com/00/s/MTQwNFgxMDcy/z/pysAAeSwfVNqYjE6/$_1.JPG?set_id=8800005007
