Info,Version=1.0.0,Template=fx_category_template_EBAY_US,,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),ItemID,EndingReason
End,226973194616,NotAvailable
End,227126513672,NotAvailable
End,227030580646,NotAvailable
End,227233466813,NotAvailable
End,226913624906,NotAvailable
End,227042822375,NotAvailable
End,226869439040,NotAvailable
End,226883591802,NotAvailable
End,226885291705,NotAvailable
End,226913777837,NotAvailable
End,227062477639,NotAvailable
End,227278827302,NotAvailable
End,227295734373,NotAvailable
End,227308339490,NotAvailable
