Action,ItemID,EndingReason
End,226788720400,NotAvailable
End,226788735090,NotAvailable
End,226792514723,NotAvailable
End,226792515347,NotAvailable
End,226796677855,NotAvailable
End,226818962747,NotAvailable
End,226836055403,NotAvailable
End,226843900603,NotAvailable
End,226844278815,NotAvailable
End,226847684332,NotAvailable
End,226851230138,NotAvailable
End,226857646257,NotAvailable
End,226864734022,NotAvailable
End,226864736154,NotAvailable
End,226864741461,NotAvailable
End,226864745578,NotAvailable
End,226864748507,NotAvailable
End,226866210910,NotAvailable
End,226866220270,NotAvailable
End,226866222715,NotAvailable
End,226869586395,NotAvailable
End,226873311732,NotAvailable
End,226873380283,NotAvailable
End,226875618285,NotAvailable
End,226875861820,NotAvailable
End,226877124573,NotAvailable
End,226877126788,NotAvailable
End,226877129454,NotAvailable
End,226877147220,NotAvailable
End,226877149955,NotAvailable
End,226877151344,NotAvailable
End,226877215869,NotAvailable
End,226877265694,NotAvailable
End,226877275136,NotAvailable
End,226877278058,NotAvailable
End,226877280878,NotAvailable
End,226877284390,NotAvailable
End,226879888740,NotAvailable
End,226879903258,NotAvailable
End,226879915017,NotAvailable
End,226879921729,NotAvailable
End,226879931034,NotAvailable
End,226881231761,NotAvailable
End,226881249828,NotAvailable
End,226881706395,NotAvailable
End,226881737098,NotAvailable
End,226881740307,NotAvailable
End,226881744644,NotAvailable
End,226883440858,NotAvailable
End,226883620592,NotAvailable
End,226883625765,NotAvailable
End,226883786526,NotAvailable
End,226883815015,NotAvailable
End,226886883071,NotAvailable
End,226886883072,NotAvailable
End,226886883073,NotAvailable
End,226887013665,NotAvailable
End,226887013671,NotAvailable
End,226887013676,NotAvailable
End,226888652761,NotAvailable
End,226888656220,NotAvailable
End,226888742684,NotAvailable
End,226888783861,NotAvailable
End,226888838129,NotAvailable
End,226888873822,NotAvailable
End,226889690931,NotAvailable
End,226889793568,NotAvailable
End,226889793573,NotAvailable
End,226889793577,NotAvailable
End,226889793579,NotAvailable
End,226889793580,NotAvailable
End,226890215787,NotAvailable
End,226890215789,NotAvailable
End,226890215795,NotAvailable
End,226890215811,NotAvailable
End,226891622900,NotAvailable
End,226893702748,NotAvailable
End,226893702751,NotAvailable
End,226893702754,NotAvailable
End,226893702756,NotAvailable
End,226893702758,NotAvailable
End,226895233401,NotAvailable
End,226895238714,NotAvailable
End,226900424552,NotAvailable
End,226900424553,NotAvailable
End,226900424555,NotAvailable
End,226900424557,NotAvailable
End,226900424558,NotAvailable
End,226900424559,NotAvailable
End,226900424560,NotAvailable
End,226900424562,NotAvailable
End,226900424563,NotAvailable
End,226900424566,NotAvailable
End,226900424567,NotAvailable
End,226900424569,NotAvailable
End,226900424571,NotAvailable
End,226900424575,NotAvailable
End,226900424576,NotAvailable
End,226900424577,NotAvailable
End,226900424578,NotAvailable
End,226900559886,NotAvailable
End,226901358747,NotAvailable
End,226901362101,NotAvailable
End,226901364003,NotAvailable
End,226901367689,NotAvailable
End,226901370314,NotAvailable
End,226901374462,NotAvailable
End,226901381042,NotAvailable
End,226901425920,NotAvailable
End,226901434710,NotAvailable
End,226901438262,NotAvailable
End,226901439426,NotAvailable
End,226901445751,NotAvailable
End,226901452453,NotAvailable
End,226901464285,NotAvailable
End,226901467784,NotAvailable
End,226901470362,NotAvailable
End,226901477179,NotAvailable
End,226901488918,NotAvailable
End,226901490763,NotAvailable
End,226901491956,NotAvailable
End,226901493511,NotAvailable
