*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Item number,Custom label (SKU),Start price,ShippingProfileName
Revise,227462336906,FBrelist-080426-0001,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336911,FBrelist-080426-0002,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336933,FBrelist-080426-0003,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336921,FBrelist-080426-0006,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336944,FBrelist-080426-0010,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336969,FBrelist-080426-0012,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336935,FBrelist-080426-0016,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336943,FBrelist-080426-0018,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337039,FBrelist-080426-0019,3.99,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462336974,FBrelist-080426-0021,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337090,FBrelist-080426-0024,40.29,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337101,FBrelist-080426-0026,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337126,FBrelist-080426-0027,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337111,FBrelist-080426-0028,3.99,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337089,FBrelist-080426-0031,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337116,FBrelist-080426-0033,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337135,FBrelist-080426-0036,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337166,FBrelist-080426-0041,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462345837,FBrelist-080426-0043,5.99,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462345875,FBrelist-080426-0046,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337169,FBrelist-080426-0047,3.99,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337178,FBrelist-080426-0048,2.89,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462345838,FBrelist-080426-0051,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337179,FBrelist-080426-0052,4.99,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337226,FBrelist-080426-0053,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337247,FBrelist-080426-0055,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337209,FBrelist-080426-0056,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337207,FBrelist-080426-0057,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337211,FBrelist-080426-0059,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337221,FBrelist-080426-0060,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337223,FBrelist-080426-0061,10.29,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337235,FBrelist-080426-0063,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337252,FBrelist-080426-0065,3.99,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227462337254,FBrelist-080426-0066,10.79,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
