Item number,Title,Current price
FBrelist-080426-0501,LEE WILLIAMS 1989 Pro Set #367 San Diego Chargers - VINTAGE Football,2.99
FBrelist-080426-0502,JIM EVERETT 1989 Pro Set #199 Los Angeles Rams - VINTAGE Football,2.99
FBrelist-080426-0503,EDDIE MURRAY 1989 Pro Set #124 Detroit Lions - VINTAGE Football,2.99
FBrelist-080426-0504,CORNELIUS BENNETT 1989 Pro Set #17 Buffalo Bills - VINTAGE Football,3.49
FBrelist-080426-0505,JAMES GEATHERS 1989 Pro Set #265 New Orleans Saints - VINTAGE Football,2.99
FBrelist-080426-0506,STUMP MITCHELL 1989 Pro Set #333 Phoenix Cardinals - VINTAGE Football,3.49
FBrelist-080426-0507,MICHAEL IRVIN 1989 Pro Set #89 Dallas Cowboys - VINTAGE Football,4.99
FBrelist-080426-0508,JACKIE SLATER 1989 Pro Set #207 Los Angeles Rams - VINTAGE Football,2.99
FBrelist-080426-0509,JOHN STEPHENS 1989 Pro Set #257 New England Patriots - VINTAGE Football,3.49
FBrelist-080426-0510,EVERSON WALLS 1989 Pro Set #97 Dallas Cowboys - VINTAGE Football,2.99
FBrelist-080426-0511,BUBBA Paris 1989 Pro Set #387 San Francisco 49ers - VINTAGE Football,2.99
FBrelist-080426-0512,ALEX GORDON 1989 Pro Set #296 New York Jets - VINTAGE Football,2.99
FBrelist-080426-0513,JERRY ROBINSON 1989 Pro Set #191 Los Angeles Raiders - VINTAGE Football,3.49
FBrelist-080426-0514,FRANK MINNIFIELD 1989 Pro Set #82 Cleveland Browns - VINTAGE Football,3.49
FBrelist-080426-0515,BILL PARCELLS 1989 Pro Set #293 New York Giants - VINTAGE Football,3.99
FBrelist-080426-0516,JIM MCMAHON 1989 Pro Set #44 Chicago Bears - VINTAGE Football,2.99
FBrelist-080426-0517,J.T. SMITH 1989 Pro Set #339 Phoenix Cardinals - VINTAGE Football,3.49
FBrelist-080426-0518,RAYMOND BERRY 1989 Pro Set #260a New England Patriots - VINTAGE Football,3.49
FBrelist-080426-0519,GEORGE SEIFERT 1989 Pro Set #389 San Francisco 49ers - VINTAGE Football,2.99
FBrelist-080426-0520,LOUIS LIPPS 1989 Pro Set #351 Pittsburgh Steelers - VINTAGE Football,2.99
FBrelist-080426-0521,ERIK MCMILLAN 1989 Pro Set #303 New York Jets - VINTAGE Football,2.99
FBrelist-080426-0522,STEVE YOUNG 1989 Pro Set #388 San Francisco 49ers - VINTAGE Football,2.99
FBrelist-080426-0523,GENE STALLINGS 1989 Pro Set #341 Phoenix Cardinals - VINTAGE Football,3.99
FBrelist-080426-0524,WAYNE FONTES 1989 Pro Set #127 Detroit Lions - VINTAGE Football,2.99
FBrelist-080426-0525,MARK CANNON 1989 Pro Set #130 Green Bay Packers - VINTAGE Football,3.49
FBrelist-080426-0526,MIKE TOMCZAK 1989 Pro Set #51 Chicago Bears - VINTAGE Football,14.59
