Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action,ItemID,*Title,Custom label (SKU)
Revise,227462337207,2025 Bowman #BP-53 Jacob Bresnahan Prospects Giants Baseball,FBrelist-080426-0057
Revise,227462337814,KYLE TUCKER 2024 Topps #551 Rainbow Foil Houston Astros Baseball,FBrelist-080426-0253
Revise,227462337896,KYLE TUCKER 2025 Topps Heritage #227 Dark Blue Chicago Cubs Baseball,FBrelist-080426-0289
Revise,227462338299,HELIOT RAMOS 2022 Bowman #BCP-35 Chrome Prospects San Francisco Giants Baseball,FBrelist-080426-0466
Revise,227462338300,MIKE YASTRZEMSKI 2020 Bowman #92 San Francisco Giants Baseball,FBrelist-080426-0465
Revise,227462338304,MASYN WINN 2024 Topps #480 St. Louis Cardinals Baseball,FBrelist-080426-0468
Revise,227462338312,TUCKER TOMAN 2023 Bowman Inception #12 Blue Foil Toronto Blue Jays #/99 Baseball,FBrelist-080426-0470
Revise,227462338313,RAYNER ARIAS 2023 Bowman Inception #82 San Francisco Giants Baseball,FBrelist-080426-0471
Revise,227462338324,KYLE HARRISON 2024 Topps Update #RRR-KH Rising Rookies Relics Giants RC Baseball,FBrelist-080426-0464
Revise,227462338326,KRIS BRYANT 2022 Bowman #98 San Francisco Giants Baseball,FBrelist-080426-0467
Revise,227462338334,LOGAN WEBB 2024 Topps Chrome #168 Purple Ref San Francisco Giants #/250 Baseball,FBrelist-080426-0479
Revise,227462338545,KYLE TUCKER 2019 Topps Fire #70 Houston Astros Baseball,FBrelist-080426-0593
Revise,227462338640,KYLE TUCKER 2024 Topps Chrome #112 Purple Ref Houston Astros #/250 Baseball,FBrelist-080426-0636
Revise,227462338655,WILLIE MAYS 2024 Topps Update #AC-6 All Class San Francisco Giants Baseball,FBrelist-080426-0639
Revise,227462338672,KYLE TUCKER 2019 Bowman #94 Houston Astros Baseball,FBrelist-080426-0643
Revise,227462338682,TYLER O'NEILL 2018 Topps Update #US218 St. Louis Cardinals Baseball,FBrelist-080426-0640
Revise,227462339148,MASYN WINN 2025 Topps Chrome #244 St. Louis Cardinals Baseball,FBrelist-080426-0829
Revise,227462339154,MASYN WINN 2025 Bowman #100 St. Louis Cardinals Baseball,FBrelist-080426-0830
Revise,227462339156,JAMES TIBBS III 2025 Bowman #BP-39 Prospects San Francisco Giants Baseball,FBrelist-080426-0831
Revise,227462339161,MATT CHAPMAN 2024 Topps Update #CSMLB-62 Stars of MLB Chrome Giants Baseball,FBrelist-080426-0835
Revise,227462339166,KYLE TUCKER 2024 Topps Chrome Logofractor Edition #112 Houston Astros Baseball,FBrelist-080426-0836
Revise,227462339169,MASYN WINN 2025 Topps #22 St. Louis Cardinals Baseball,FBrelist-080426-0828
Revise,227462339179,CJ ABRAMS 2023 Topps Chrome #319 Blue Mini-Diamond Ref Nationals /199 Baseball,FBrelist-080426-0833
Revise,227462339181,JUNG HOO LEE 2024 Topps Update #89US-28 35th Anniversary Giants Baseball,FBrelist-080426-0834
Revise,227462339184,ROBBIE RAY 2025 Topps #459 Gold San Francisco Giants #/2025 Baseball,FBrelist-080426-0845
Revise,227462339199,TINK HENCE 2025 Bowman #BP-101 Prospects Blue St. Louis Cardinals #/150 Baseball,FBrelist-080426-0855
Revise,227462339211,KYLE TUCKER 2019 Bowman'S Best #43 Houston Astros RC Rookie Baseball,FBrelist-080426-0857
Revise,227462339233,2015 Bowman Draft #75 Kyle Tucker RC Rookie Astros Cubs Dodgers Baseball,FBrelist-080426-0864
Revise,227462339251,JJ WETHERHOLT 2025 Bowman #GL-17 Greatness Loading St. Louis Cardinals Baseball,FBrelist-080426-0869
Revise,227462339253,GRANT MCCRAY 2025 Topps Chrome Cosmic #28 Ref San Francisco Giants Baseball,FBrelist-080426-0872
