Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action,ItemID,*Title,Custom label (SKU)
Revise,227462339481,KYLE TUCKER 2026 Topps Heritage #187 Chrome Cubs Baseball,FBrelist-080426-0947
Revise,227462339479,MASYN WINN 2025 Bowman'S Best #44 Refractor Cardinals Baseball,FBrelist-080426-0946
Revise,227462339472,JJ WETHERHOLT 2025 Bowman'S Best #BS-11 Showpieces Cardinals Baseball,FBrelist-080426-0944
Revise,227462339471,JEREMY CHINN 2025 Topps Chrome #184 Prism Refractor Raiders Football,FBrelist-080426-0950
Revise,227462339470,ROBERT HIPWELL 2025 Bowman Chrome #BCP-238 1st Prospect Giants Baseball,FBrelist-080426-0943
Revise,227462339469,TEZ JOHNSON 2025 Topps Chrome #342 Rookie RC Buccaneers Football,FBrelist-080426-0949
Revise,227462339467,JEFFERY SIMMONS 2025 Topps Chrome #289 Titans Football,FBrelist-080426-0948
Revise,227462339452,2025 Bowman Chrome BO Davidson #BCP-206 1st Prospect Giants Baseball,FBrelist-080426-0939
Revise,227462339448,JAKOB CHRISTIAN 2025 Bowman Chrome #BCP-157 1st Prospect Giants Baseball,FBrelist-080426-0942
Revise,227462339434,BRYCE ELDRIDGE 2025 Bowman'S Best #TP-15 Top Prospects Refractor Giants Baseball,FBrelist-080426-0933
Revise,227462339430,JJ WETHERHOLT 2025 Bowman'S Best #TP-14 Top Prospects Cardinals Baseball,FBrelist-080426-0930
Revise,227462339420,CHEN-WEI LIN 2025 Bowman Sapphire Edition #BCP-141 St. Louis Cardinals Baseball,FBrelist-080426-0925
Revise,227462339450,JJ WETHERHOLT 2025 Bowman'S Best #TP-14 Top Prospects Ref Cardinals Baseball,FBrelist-080426-0945
Revise,227462339445,PAUL SKENES 2026 Topps #TOG-14 Titans Of The Game Baseball,FBrelist-080426-0941
Revise,227462339435,LIAM DOYLE 2025 Bowman'S Best #P-3 Pixel Portraits Cardinals Baseball,FBrelist-080426-0938
Revise,227462339431,BRYCE ELDRIDGE 2025 Bowman Chrome #MM-15 Melt Mashers Giants Baseball,FBrelist-080426-0937
Revise,227462339428,KYLE TUCKER 2025 Bowman'S Best #2 Refractor Cubs Baseball,FBrelist-080426-0936
Revise,227462339423,RAFAEL DEVERS 2025 Bowman'S Best #21 Refractor Giants Baseball,FBrelist-080426-0935
Revise,227462339422,JUNG HOO LEE 2025 Bowman'S Best #7 Refractor Giants Baseball,FBrelist-080426-0934
Revise,227462339421,MASYN WINN 2025 Bowman'S Best #44 Wave Refractor Cardinals Baseball,FBrelist-080426-0929
Revise,227462339419,JJ WETHERHOLT 2025 Bowman #GL-17 Greatness Loading Chrome Cardinals Baseball,FBrelist-080426-0928
Revise,227462339417,JOSUAR GONZALEZ 2025 Bowman'S Best #TP-13 Top Prospects Ref Giants Baseball,FBrelist-080426-0932
Revise,227462339416,JJ WETHERHOLT 2025 Bowman Draft #A-12 Axis Chrome Cardinals Baseball,FBrelist-080426-0931
Revise,227462339406,PAUL SKENES 2026 Topps #TOG-14 Titans Of The Game Pirates Baseball,FBrelist-080426-0927
