*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Item number,Custom label (SKU),Start price,ShippingProfileName
Revise,227388705650,WHATNOT-0003-00008-34538,2.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227388705925,WHATNOT-0003-00011-48960,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227388706048,WHATNOT-0003-00005-08831,3.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227388706183,,17.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227388706205,WHATNOT-0003-00023-93735,33.59,$15 to $50 Ground
Revise,227388706281,,10.69,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398087,,4.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398186,WHATNOT-0003-00036-06219,8.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398305,WHATNOT-0003-00052-89012,2.89,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398588,WHATNOT-0003-00051-43157,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227390398640,,39.39,$15 to $50 Ground
Revise,227390398658,WHATNOT-0003-00054-14654,4.19,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398678,WHATNOT-0003-00042-51647,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227390398711,,13.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398751,WHATNOT-0003-00048-23812,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227390398757,WHATNOT-0003-00066-59516,34.99,$15 to $50 Ground
Revise,227390398787,WHATNOT-0003-00050-32649,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227427290320,BB-071126-00025-81538,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227390398822,WHATNOT-0003-00029-07297,8.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398851,WHATNOT-0003-00055-12703,10.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390398878,WHATNOT-0003-00043-50338,3.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390399351,WHATNOT-0003-00053-00804,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227390399523,WHATNOT-0003-00046-75516,4.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390399916,WHATNOT-0003-00062-93409,11.59,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390399979,WHATNOT-0003-00060-25114,2.59,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390400187,WHATNOT-0003-00034-44013,5.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227390400210,,59.79,$15 to $50 Ground
Revise,227390400228,WHATNOT-0003-00024-60741,59.79,$15 to $50 Ground
Revise,227391886595,WHATNOT-0003-00015-85552,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227391886657,WHATNOT-0003-00009-29985,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227391886734,WHATNOT-0003-00010-21308,2.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227391886755,,8.69,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227391886839,WHATNOT-0003-00007-15627,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227391886927,WHATNOT-0003-00022-18060,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227391886946,,20.89,$15 to $50 Ground
Revise,227391887006,WHATNOT-0003-00013-20799,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227391887023,WHATNOT-0003-00017-86373,12.29,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227391887036,WHATNOT-0003-00008-14897,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227391887049,WHATNOT-0003-00021-23650,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227391887081,WHATNOT-0003-00011-27168,4.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227391887149,WHATNOT-0003-00006-97578,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227393625709,WHATNOT-0003-00017-54815,5.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227395201539,Whatnot_06_-_06-18-26-00016-910223,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227395201871,Whatnot_06_-_06-18-26-00019-861066,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227395202084,Whatnot_06_-_06-18-26-00037-695917,3.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227395202126,Whatnot_06_-_06-18-26-00014-161086,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227395202142,Whatnot_06_-_06-18-26-00005-949576,12.59,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227395202175,Whatnot_06_-_06-18-26-00004-580214,17.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227395202559,Whatnot_06_-_06-18-26-00006-250628,17.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227401632157,Whatnot_07_multi_-_06-23-26-00016-128346,4.89,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227401632208,Whatnot_07_multi_-_06-23-26-00015-430601,2.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227401632284,Whatnot_07_multi_-_06-23-26-00013-744619,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227401632661,Whatnot_07_multi_-_06-23-26-00008-382105,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227401632997,Whatnot_07_multi_-_06-23-26-00024-657749,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227401633087,Whatnot_07_multi_-_06-23-26-00020-885761,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227401633224,Whatnot_07_multi_-_06-23-26-00006-388408,8.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227402958970,,6.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227402959023,,25.09,$15 to $50 Ground
Revise,227403929135,RBM-0001-00015-10174,3.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227406408070,FB_Drake_Maye_-06-27-26-00007-724697,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227406408120,FB_Drake_Maye_-06-27-26-00009-025417,2.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227406408187,FB_Drake_Maye_-06-27-26-00006-122078,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227406408235,FB_Drake_Maye_-06-27-26-00010-959570,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227406408292,FB_Drake_Maye_-06-27-26-00011-880577,2.59,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227406478230,Slabs_06-27-26-00001-353751,74.19,$15 to $50 Ground
Revise,227406478359,Slabs_06-27-26-00002-098812,57.19,$15 to $50 Ground
Revise,227407756804,Whatnot_08_multi_06-28-26-00006-556521,34.19,$15 to $50 Ground
Revise,227407756826,Whatnot_08_multi_06-28-26-00005-955149,3.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227409245440,BBA-000100-00012-14198,70.89,$15 to $50 Ground
