*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Item number,Custom label (SKU),Start price
Revise,227415753222,BB-070326-0002,26.39
Revise,227427289915,BB-071126-00017-05690,6.49
Revise,227449170125,KKCWHT-072626-00002-64119,2.49
Revise,227449170130,KKCWHT-072626-00003-11411,2.49
Revise,227449170132,KKCWHT-072626-00008-59423,2.49
Revise,227449170133,KKCWHT-072626-00007-77081,2.49
Revise,227449274419,KKCWHT-072626-00012-73870,2.49
Revise,227449274422,KKCWHT-072626-00010-91764,2.49
Revise,227449274424,KKCWHT-072626-00014-16132,2.49
Revise,227449274490,KKCWHT-072626-00026-18357,2.49
Revise,227449274505,KKCWHT-072626-00019-73495,2.49
Revise,227449274528,KKCWHT-072626-00013-94684,2.49
Revise,227449274658,KKCWHT-072626-00011-91703,2.49
