Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action,ItemID,*Title,Custom label (SKU)
Revise,227460740309,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCORERS CLUB SILVER Prizm NORWAY,RBLOT-073026-00031-01242
Revise,227459492254,2025-26 TOPPS UEFA CLUB COMPETITION FINEST ERLING HAALAND SHOWMEN MAN CITY,RBLOT-073026-00032-35406
Revise,227459491144,2025 TOPPS UEFA CLUB COMPETITION FINEST ERLING HAALAND #FM-7 Soccer,RBLOT-073026-00033-56981
Revise,227459491672,2025 TOPPS CHROME UEFA CLUB COMPETITIONS JUDE BELLINGHAM #64 REFRACTOR Soccer,RBLOT-073026-00046-53194
Revise,227459491647,2026 PANINI PRIZM FIFA WORLD CUP MUSAB AL-JUWAYR PANDORA SAUDI ARABIA NT Soccer,RBLOT-073026-00048-34979
Revise,227459491560,2026 PANINI PRIZM FIFA WORLD CUP ALI MAJRASHI OLD GLORY /94 SAUDI ARABIA NT,RBLOT-073026-00049-99543
Revise,227459491765,2026 PANINI PRIZM FIFA WORLD CUP NICO WILLIAMS UNAI SIMON CONNECTIONS WAVE SPAIN,RBLOT-073026-00051-12162
Revise,227459491889,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCORERS CLUB WAVE Prizm NORWAY,RBLOT-073026-00052-34979
Revise,227459491699,2026 PANINI PRIZM FIFA WORLD CUP ERLING HAALAND SCREAMERS SILVER Prizm NORWAY,RBLOT-073026-00053-92116
Revise,227459491116,2026 PANINI PRIZM FIFA WORLD CUP LIONEL MESSI PHENOMENON SILVER Prizm ARGENTINA,RBLOT-073026-00054-06377
Revise,227459491585,2026 PANINI PRIZM FIFA WORLD CUP HARRY KANE SCORERS CLUB Silver Prizm ENGLAND,RBLOT-073026-00056-45187
Revise,227459491346,2026 PANINI PRIZM FIFA WORLD CUP DAYOT UPAMECANO SCREAMERS WAVE Prizm FRANCE,RBLOT-073026-00058-85556
