Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action,ItemID,*Title,Custom label (SKU)
Revise,227465254840,2026 Panini Prizm World Cup HUGO EKITIKE Wave Prizm France Soccer Card,RBLOT-073026-00098-97951
Revise,227465254873,2026 Panini Prizm World Cup ISMAEL KONE Wave Prizm Canada Soccer Card,RBLOT-073026-00099-88684
Revise,227465254865,2025-26 Topps UEFA Club Competition Finest ESTEVAO WILLIAN Showmen RC Chelsea,RBLOT-073026-00100-69839
Revise,227465254870,2025 TOPPS UEFA CLUB COMPETITION FINEST ESTEVAO WILLIAN #FM-5 RC Soccer Card,RBLOT-073026-00101-60800
Revise,227465254875,2026 Panini Prizm World Cup ANTONIO RUDIGER Aces Wave Prizm Germany Soccer Card,RBLOT-073026-00102-24997
Revise,227465254856,2026 Panini Prizm World Cup JOHN STONES Silver Prizm England Soccer Card,RBLOT-073026-00103-02546
Revise,227465254835,2026 Panini Prizm World Cup THEO BONGONDA Wave Prizm COD Soccer Card,RBLOT-073026-00104-28452
Revise,227465254842,2026 Panini Prizm World Cup DECLAN RICE Silver Prizm England Soccer Card,RBLOT-073026-00105-36037
Revise,227465254912,2026 Panini Prizm World Cup GRANIT XHAKA Trophy Hunting Silver Prizm Switzerland,RBLOT-073026-00106-49607
Revise,227465254845,2026 Panini Prizm World Cup EBERECHI EZE Phenomenon Silver Prizm England,RBLOT-073026-00107-78670
Revise,227465254844,2026 Panini Prizm World Cup WESTON MCKENNIE Wave Prizm USMNT Soccer Card,RBLOT-073026-00108-48486
Revise,227465254857,2026 Panini Prizm World Cup FABIAN RUIZ Wave Prizm Spain Soccer Card,RBLOT-073026-00109-97497
Revise,227465254847,2026 Panini Prizm World Cup TSUYOSHI WATANABE Wave Prizm Japan Soccer Card,RBLOT-073026-00110-01614
Revise,227465254806,2026 Panini Prizm World Cup JUNINHO BACUNA Wave Prizm CUW Soccer Card,RBLOT-073026-00111-65662
Revise,227465254843,2026 Panini Prizm World Cup JORTHY MOKIO New Era Silver Prizm Belgium,RBLOT-073026-00112-23675
Revise,227465254892,2026 Panini Prizm World Cup SVERRE NYPAN Wave Prizm Norway Soccer Card,RBLOT-073026-00113-02064
Revise,227465254862,2026 Panini Prizm World Cup WILFRIED SINGO Wave Prizm CIV Soccer Card,RBLOT-073026-00114-36136
Revise,227465254874,2026 Panini Prizm World Cup ABDULLAH AL-KHAIBARI Wave Prizm Saudi Arabia NT,RBLOT-073026-00115-80090
Revise,227465254846,2025 TOPPS UEFA CLUB COMPETITION FINEST ESTEVAO WILLIAN #PF-13 RC Soccer Card,RBLOT-073026-00116-44291
Revise,227465254863,2026 Panini Prizm World Cup ZIZO Wave Prizm RC Egypt Soccer Card,RBLOT-073026-00117-54637
Revise,227465254861,2026 Panini Prizm World Cup ELLIOT ANDERSON Trophy Hunting Silver Prizm England,RBLOT-073026-00118-75196
Revise,227465254886,2026 Panini Prizm World Cup EDER MILITAO Aces Silver Prizm Brazil Soccer Card,RBLOT-073026-00119-96634
Revise,227465254868,2026 Panini Prizm World Cup XAVI SIMONS Wave Prizm Netherlands Soccer Card,RBLOT-073026-00120-82480
Revise,227465254838,2026 Panini Prizm World Cup REECE JAMES Phenomenon Silver Prizm England,RBLOT-073026-00121-66057
Revise,227465254853,2026 Panini Prizm World Cup CALEB YIRENKYI Wave Prizm Ghana Soccer Card,RBLOT-073026-00123-33373
Revise,227465254832,2026 Panini Prizm World Cup CHEMSDINE TALBI Wave Prizm Morocco Soccer Card,RBLOT-073026-00124-75432
Revise,227465254881,2026 Panini Prizm World Cup MIN-JAE KIM Wave Prizm Korea Soccer Card,RBLOT-073026-00125-02041
Revise,227465254850,2026 Panini Prizm World Cup MAHMOUD AL-MARDI Silver Prizm Jordan NT Soccer Card,RBLOT-073026-00130-55257
Revise,227465254836,2026 Panini Prizm World Cup JORTHY MOKIO Wave Prizm RC Belgium Soccer Card,RBLOT-073026-00131-69231
