Title,Status,ListingDate,EndingDate,BuyItNow,SalePrice,Fees,Net,FriendlyPackageId,FrontImageUrl
2024 Topps Archives Signature Series Zac Gallen Heritage Auto #/69 Diamondbacks,Active,08/22/2026 02:43:20 +00:00,08/27/2026 02:43:20 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMDg4/z/jT0AAeSwzbZqiMcs/$_1.JPG?set_id=8800005007
2025 Bowman's Best Corbin Carroll Aqua Refractor #/199 Diamondbacks,Active,08/22/2026 02:41:40 +00:00,08/27/2026 02:41:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAx/z/aRwAAeSwRjVqiMcu/$_1.JPG?set_id=8800005007
2024 Wild Card Automania American Taulia Tagovailoa Triangle Rainbow 3 AUto #1/1,Active,08/22/2026 02:40:00 +00:00,08/27/2026 02:40:00 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA5/z/XPcAAeSw7DBqiMcs/$_1.JPG?set_id=8800005007
2025-26 Topps Chrome Jeremiah Fears Destiny RC Rookie #D-7 Pelicans,Active,08/22/2026 02:38:20 +00:00,08/27/2026 02:38:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/ZZMAAeSwSUlqiMaz/$_1.JPG?set_id=8800005007
2025-26 Bowman Jamier Jones Chrome Auto Refractor 1st Prospect #/499 Friars,Active,08/22/2026 02:36:40 +00:00,08/27/2026 02:36:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA2/z/SfoAAeSwKX9qiMbq/$_1.JPG?set_id=8800005007
2025-26 Bowman Otega Oweh Chrome Auto Refractor 1st Prospect #/499 Wildcats,Active,08/22/2026 02:35:00 +00:00,08/27/2026 02:35:00 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA2/z/Z3kAAeSwWIxqiMck/$_1.JPG?set_id=8800005007
2023 Topps Chrome Logofractor Juan Soto Yellow Refractor #/75 Padres,Active,08/22/2026 02:33:20 +00:00,08/27/2026 02:33:20 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA3/z/rwgAAeSwiOxqiMas/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Matas Buzelis Rare Blue Refractor #/99 Bulls,Active,08/22/2026 02:31:40 +00:00,08/27/2026 02:31:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjQ1/z/u-UAAeSwdy9qiMck/$_1.JPG?set_id=8800005007
2025 Bowman Draft Sapphire Jared Thomas Chrome Yellow Refractor #/75 Rockies,Active,08/22/2026 02:30:00 +00:00,08/27/2026 02:30:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/Z8kAAeSwS7ZqiMcb/$_1.JPG?set_id=8800005007
2024 Panini Prizm Draft Picks Collegiate VJ Edgecombe Rated Prospect Green #17,Active,08/22/2026 02:28:20 +00:00,08/27/2026 02:28:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjM3/z/zxAAAeSw9XJqiMZt/$_1.JPG?set_id=8800005007
