Item number,Title,Custom label (SKU),Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
2.26789E+11,2025 Bowman - Bowman Scouts Top 100 Marcelo Mayer #BTP-4 (RC),CDP-388FFD0,1.49,,,1.49,0,,,May-31-25 19:53:06 PDT,May-31-26 19:53:06 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26789E+11,2024 Panini Absolute - Star Gazing Luke McCaffrey #SG-LMY (RC),CDP-B6E7E18,0.99,,,0.99,0,,,May-31-25 19:55:40 PDT,May-31-26 19:55:40 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26789E+11,2024 Panini Illusions J.J. McCarthy #100 (RC) Vikings,CDP-5D82D06,1.49,,,1.49,0,0,,May-31-25 19:56:24 PDT,May-31-26 19:56:24 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26789E+11,2025 Bowman Chrome Rece Hinds #RR-8 (RC) Rockstar Rookies,CDP-B676C2C,1.5,,,1.5,0,,,May-31-25 19:57:17 PDT,May-31-26 19:57:17 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26789E+11,2025 Bowman 1st Chrome Jhonayker Ugarte #BCP-123 (RC) Royals,CDP-E37E4FD,1.99,,,1.99,0,,,May-31-25 19:58:01 PDT,May-31-26 19:58:01 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26789E+11,2025 Bowman Chrome Kumar Rocker ROY-5 Texas Rangers,CDP-067FF8D,1.25,,,1.25,0,,,May-31-25 20:00:13 PDT,May-31-26 20:00:13 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26789E+11,2024 Panini Illusions Michael Penix Jr. #4 (RC) Falcons,CDP-6ABA4C8,1.25,,,1.25,0,,,May-31-25 20:02:04 PDT,May-31-26 20:02:04 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26791E+11,2025 Topps Heritage Baseball #92 Bobby Witt Jr. 👑Kansas City Royals👑,CDP-E74F701,1.99,,,1.99,0,,,Jun-01-25 15:36:49 PDT,Jun-01-26 15:36:49 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26792E+11,2025 Bowman Connor Norby #46 (RC) Marlins,CDP-4895D6C,1.5,,,1.5,0,,,Jun-02-25 14:20:37 PDT,Jun-02-26 14:20:37 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26792E+11,2025 Topps Series 1 Ronald Acuña Jr. #TG-16 Training Grounds Braves,CDP-B954CB1,1.49,,,1.49,0,,,Jun-02-25 14:22:23 PDT,Jun-02-26 14:22:23 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26792E+11,2025 Topps 2024's Greatest Hits #GH-27 Wyatt Langford Texas Rangers,CDP-4C8AF73,1.99,,,1.99,0,,,Jun-02-25 14:28:38 PDT,Jun-02-26 14:28:38 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26792E+11,2025 Topps Series 1 Mookie Betts 1990 Topps Baseball  #T90-60 Dodgers,CDP-2EE740C,1.25,,,1.25,0,,,Jun-02-25 14:30:47 PDT,Jun-02-26 14:30:47 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
2.26792E+11,2025 Bowman Luisangel Acuna #83 (RC) Mets,CDP-E406302,1.75,,,1.75,0,,,Jun-02-25 14:35:41 PDT,Jun-02-26 14:35:41 PDT,Trading Card Singles,261328,,,Ungraded,,,,Excellent,,US,,,
