Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"226788716936",2025 Bowman - Bowman SCOUTS Top 100 Marcelo Mayer #BTP-4 (RC) Rookie,,CDP-388FFD0,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-31-25 19:53:06 PDT","Jul-31-26 19:53:06 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226788720400",2024 Panini Absolute - Star GAZING LUKE MCCAFFREY #SG-LMY (RC) Rookie Football,,CDP-B6E7E18,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-31-25 19:55:40 PDT","Jul-31-26 19:55:40 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226788721897",2024 Panini ILLUSIONS J.J. MCCARTHY #100 (RC) Vikings Rookie Basketball,,CDP-5D82D06,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","0","","May-31-25 19:56:24 PDT","Jul-31-26 19:56:24 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226788723318",2025 Bowman Chrome RECE HINDS #RR-8 (RC) Rockstar Rookies,,CDP-B676C2C,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-31-25 19:57:17 PDT","Jul-31-26 19:57:17 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226788724174",2025 Bowman 1st Chrome JHONAYKER UGARTE #BCP-123 (RC) Royals Rookie,,CDP-E37E4FD,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","May-31-25 19:58:01 PDT","Jul-31-26 19:58:01 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226788730875",2025 Bowman Chrome KUMAR ROCKER ROY-5 TEXAS RANGERS,,CDP-067FF8D,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-31-25 20:00:13 PDT","Jul-31-26 20:00:13 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226788735090",2024 Panini ILLUSIONS MICHAEL PENIX JR. #4 (RC) Falcons Rookie Football,,CDP-6ABA4C8,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","May-31-25 20:02:04 PDT","Jul-31-26 20:02:04 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226790522118",2025 Topps Heritage Baseball #92 Bobby Witt Jr. 👑Kansas City Royals👑,,CDP-E74F701,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","","","Jun-01-25 15:36:49 PDT","Aug-01-26 15:36:49 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792471627",2025 Bowman CONNOR NORBY #46 (RC) Marlins Rookie,,CDP-4895D6C,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","Jun-02-25 14:20:37 PDT","Aug-02-26 14:20:37 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792475559",2025 Topps Series 1 RONALD ACUÑA JR. #TG-16 Training Grounds Braves,,CDP-B954CB1,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","Jun-02-25 14:22:23 PDT","Aug-02-26 14:22:23 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792488707",2025 Topps 2024's GREATEST HITS #GH-27 Wyatt Langford Texas Rangers,,CDP-4C8AF73,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","","","Jun-02-25 14:28:38 PDT","Aug-02-26 14:28:38 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792491039",2025 Topps Series 1 MOOKIE BETTS 1990 Topps Baseball #T90-60 Dodgers,,CDP-2EE740C,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","Jun-02-25 14:30:47 PDT","Aug-02-26 14:30:47 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792496602",2025 Bowman LUISANGEL ACUNA #83 (RC) Mets Rookie,,CDP-E406302,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","Jun-02-25 14:35:41 PDT","Aug-02-26 14:35:41 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792497474",2025 Topps Heritage GAVIN SHEETS #464 SP High Number White Sox,,CDP-BCA0188,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","Jun-02-25 14:37:02 PDT","Aug-02-26 14:37:02 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792498775",2025 Topps Heritage SHOTA IMANAGA #399 Cubs Trophy Topps All Star Rookie RC,,CDP-5A832E6,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","Jun-02-25 14:38:18 PDT","Aug-02-26 14:38:18 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792499747",2025 Topps Hobby RIP NIGHT DYLAN CREWS #7 (RC) Nationals Rookie,,CDP-873C3B7,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","Jun-02-25 14:39:05 PDT","Aug-02-26 14:39:05 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792504706",2025 Bowman DYLAN CREWS #42 (RC) Nationals Rookie,,BB-1088,"1","FIXED_PRICE","USD",2.99,,,2.99,"0","","","Jun-02-25 14:44:40 PDT","Aug-02-26 14:44:40 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
"226792507685",2025 Bowman Chrome 1st JESUS LOPEZ #BCP-88 (RC) Texas Rangers Rookie,,CDP-0C468E9,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","Jun-02-25 14:48:05 PDT","Aug-02-26 14:48:05 PDT","Trading Card Singles","261328","","","Ungraded","","","","Excellent","","US","","",""
