Action,ItemID,EndingReason
End,226788716936,NotAvailable
End,226788723318,NotAvailable
End,226788724174,NotAvailable
End,226788730875,NotAvailable
End,226790522118,NotAvailable
End,226792471627,NotAvailable
End,226792475559,NotAvailable
End,226792488707,NotAvailable
End,226792491039,NotAvailable
End,226792496602,NotAvailable
End,226792497474,NotAvailable
End,226792498775,NotAvailable
End,226792499747,NotAvailable
End,226792504706,NotAvailable
End,226792507685,NotAvailable
End,226796649452,NotAvailable
End,226796649457,NotAvailable
End,226796677855,NotAvailable
End,226796686812,NotAvailable
End,226796704537,NotAvailable
End,226796928113,NotAvailable
End,226802386118,NotAvailable
End,226802390043,NotAvailable
End,226802426266,NotAvailable
End,226802959508,NotAvailable
End,226803189635,NotAvailable
End,226803190733,NotAvailable
End,226804785872,NotAvailable
End,226804786838,NotAvailable
End,226804887424,NotAvailable
End,226817154458,NotAvailable
End,226818962747,NotAvailable
End,226831208878,NotAvailable
End,226843746893,NotAvailable
End,226843900603,NotAvailable
End,226844282222,NotAvailable
End,226845427576,NotAvailable
End,226845464055,NotAvailable
End,226845471348,NotAvailable
End,226845515370,NotAvailable
End,226845544356,NotAvailable
End,226846032956,NotAvailable
End,226846034392,NotAvailable
End,226846048926,NotAvailable
End,226847692762,NotAvailable
End,226847777953,NotAvailable
End,226849142060,NotAvailable
End,226864927550,NotAvailable
End,226869466057,NotAvailable
End,226869542400,NotAvailable
End,226869562689,NotAvailable
End,226869566763,NotAvailable
End,226873354198,NotAvailable
End,226873355755,NotAvailable
End,226873361320,NotAvailable
End,226873363672,NotAvailable
End,226873368029,NotAvailable
End,226873380283,NotAvailable
End,226873382505,NotAvailable
End,226877215869,NotAvailable
End,226877462004,NotAvailable
End,226879874658,NotAvailable
End,226879883003,NotAvailable
End,226879904709,NotAvailable
End,226879907262,NotAvailable
End,226879915017,NotAvailable
End,226879931034,NotAvailable
End,226881223626,NotAvailable
End,226881231761,NotAvailable
End,226882147514,NotAvailable
End,226883422635,NotAvailable
End,226883504451,NotAvailable
End,226883609751,NotAvailable
End,226883616749,NotAvailable
End,226883641975,NotAvailable
End,226883784746,NotAvailable
End,226883786526,NotAvailable
End,226883790450,NotAvailable
End,226883799596,NotAvailable
End,226883804004,NotAvailable
End,226883805791,NotAvailable
End,226883808570,NotAvailable
End,226883811318,NotAvailable
End,226883816674,NotAvailable
End,226885246890,NotAvailable
End,226885246891,NotAvailable
End,226885246892,NotAvailable
End,226885246893,NotAvailable
End,226885246896,NotAvailable
End,226885246898,NotAvailable
End,226885284499,NotAvailable
End,226885303832,NotAvailable
End,226885336691,NotAvailable
End,226886883057,NotAvailable
End,226886883061,NotAvailable
End,226886883062,NotAvailable
End,226886883063,NotAvailable
End,226886883064,NotAvailable
End,226886883065,NotAvailable
End,226886883067,NotAvailable
End,226886883068,NotAvailable
End,226886883070,NotAvailable
End,226886883071,NotAvailable
End,226887013664,NotAvailable
End,226887013665,NotAvailable
End,226887013666,NotAvailable
End,226887013667,NotAvailable
End,226887013669,NotAvailable
End,226887013672,NotAvailable
End,226887013674,NotAvailable
End,226887013677,NotAvailable
End,226887013681,NotAvailable
End,226888783861,NotAvailable
End,226891312238,NotAvailable
End,226891315226,NotAvailable
End,226893702750,NotAvailable
End,226893702757,NotAvailable
End,226895223369,NotAvailable
End,226896711449,NotAvailable
End,226896713625,NotAvailable
End,226896721830,NotAvailable
End,226896723600,NotAvailable
End,226896726325,NotAvailable
End,226896732607,NotAvailable
End,226896735234,NotAvailable
End,226896738222,NotAvailable
End,226896739436,NotAvailable
End,226896739692,NotAvailable
End,226901467784,NotAvailable
End,226901470362,NotAvailable
End,226901559635,NotAvailable
End,226901663222,NotAvailable
End,226901663223,NotAvailable
End,226901663224,NotAvailable
End,226901663226,NotAvailable
End,226901663228,NotAvailable
End,226901663230,NotAvailable
End,226901663232,NotAvailable
End,226901663233,NotAvailable
End,226901663234,NotAvailable
End,226901663235,NotAvailable
End,226901663236,NotAvailable
End,226901663237,NotAvailable
End,226901663238,NotAvailable
End,226901663239,NotAvailable
End,226901663241,NotAvailable
End,226903259327,NotAvailable
End,226903259332,NotAvailable
End,226903259336,NotAvailable
