Action,ItemID,EndingReason
End,227395202196,NotAvailable
End,226817153337,NotAvailable
End,227001121707,NotAvailable
End,226951102691,NotAvailable
End,227001669046,NotAvailable
End,227294097643,NotAvailable
End,227298296753,NotAvailable
End,227317101609,NotAvailable
End,227284669275,NotAvailable
End,227406365912,NotAvailable
End,227319142104,NotAvailable
End,227434693462,NotAvailable
End,227289656424,NotAvailable
End,227401633282,NotAvailable
End,227295733103,NotAvailable
End,227308339412,NotAvailable
End,227401633177,NotAvailable
End,227296922123,NotAvailable
End,227296921656,NotAvailable
End,227296921549,NotAvailable
End,227413850353,NotAvailable
End,227296921713,NotAvailable
End,227296921800,NotAvailable
End,227407756668,NotAvailable
End,227406370921,NotAvailable
End,227395201766,NotAvailable
End,227409169249,NotAvailable
End,227395202101,NotAvailable
End,227319141569,NotAvailable
End,227336199409,NotAvailable
End,227319141760,NotAvailable
End,227288927358,NotAvailable
End,227317101653,NotAvailable
End,227406366002,NotAvailable
End,227395201829,NotAvailable
End,227406365991,NotAvailable
End,227391887132,NotAvailable
End,227406366094,NotAvailable
End,227406365918,NotAvailable
End,227406366113,NotAvailable
End,227312977299,NotAvailable
End,227312977294,NotAvailable
End,227407756723,NotAvailable
End,227054281124,NotAvailable
End,227054281122,NotAvailable
End,226952874705,NotAvailable
