Action,ItemID,EndingReason
End,227415740922,NotAvailable
End,227410583404,NotAvailable
End,227415753360,NotAvailable
End,227410583434,NotAvailable
End,227368560195,NotAvailable
End,227401717395,NotAvailable
End,227337124254,NotAvailable
End,227337124135,NotAvailable
End,227337124278,NotAvailable
End,227308339492,NotAvailable
End,227440116336,NotAvailable
End,227312430749,NotAvailable
End,227421439714,NotAvailable
End,227415753273,NotAvailable
End,227258122396,NotAvailable
End,227258122018,NotAvailable
End,227258122307,NotAvailable
End,227258122304,NotAvailable
End,227258122299,NotAvailable
End,227258122285,NotAvailable
End,227279715812,NotAvailable
End,227288927510,NotAvailable
End,227406365951,NotAvailable
End,227415740943,NotAvailable
End,227428878321,NotAvailable
End,227431508812,NotAvailable
