Action,ItemID,EndingReason
End,226948041839,NotAvailable
End,226951048849,NotAvailable
End,227061326649,NotAvailable
End,227137535936,NotAvailable
End,227144106284,NotAvailable
End,227144106297,NotAvailable
End,227144106315,NotAvailable
End,227236787789,NotAvailable
End,227237795765,NotAvailable
End,227240943075,NotAvailable
End,227242376990,NotAvailable
End,227256471187,NotAvailable
End,227259956981,NotAvailable
End,227277521894,NotAvailable
End,227278783911,NotAvailable
End,227284485062,NotAvailable
End,227284486767,NotAvailable
End,227284488262,NotAvailable
End,227288992429,NotAvailable
End,227290202194,NotAvailable
End,227290873627,NotAvailable
End,227292895724,NotAvailable
End,227296921929,NotAvailable
End,227330183266,NotAvailable
End,227330183545,NotAvailable
End,227331369007,NotAvailable
End,227334664455,NotAvailable
End,227334665353,NotAvailable
End,227368596117,NotAvailable
End,227388706183,NotAvailable
End,227388706281,NotAvailable
End,227390398087,NotAvailable
End,227390398640,NotAvailable
End,227390398711,NotAvailable
End,227390400210,NotAvailable
End,227390400229,NotAvailable
End,227391886755,NotAvailable
End,227391886946,NotAvailable
End,227401632427,NotAvailable
End,227402958970,NotAvailable
End,227402959023,NotAvailable
End,227410583444,NotAvailable
End,227410597130,NotAvailable
End,227421439433,NotAvailable
End,227428878278,NotAvailable
End,227440023390,NotAvailable
End,227440023457,NotAvailable
End,227440023525,NotAvailable
End,227440023585,NotAvailable
End,227440023654,NotAvailable
End,227440124511,NotAvailable
End,227444766665,NotAvailable
End,227447629215,NotAvailable
End,227459377681,NotAvailable
