Info,Version=1.0.0,Template=fx_category_template_EBAY_US,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),ItemID,CustomLabel,*StartPrice
Revise,227388705925,WHATNOT-0003-00011-48960,2.19
Revise,227388706048,WHATNOT-0003-00005-08831,3.29
Revise,227390398186,WHATNOT-0003-00036-06219,7.59
Revise,227390398305,WHATNOT-0003-00052-89012,2.79
Revise,227390398658,WHATNOT-0003-00054-14654,3.59
Revise,227390398757,WHATNOT-0003-00066-59516,33.89
Revise,227390398851,WHATNOT-0003-00055-12703,11.09
Revise,227390398878,WHATNOT-0003-00043-50338,3.29
Revise,227390399916,WHATNOT-0003-00062-93409,12.19
Revise,227390399979,WHATNOT-0003-00060-25114,2.49
Revise,227390400228,WHATNOT-0003-00024-60741,66.89
Revise,227391886734,WHATNOT-0003-00010-21308,2.49
Revise,227391887023,WHATNOT-0003-00017-86373,11.89
Revise,227391887081,WHATNOT-0003-00011-27168,5.79
Revise,227393625709,WHATNOT-0003-00017-54815,5.29
Revise,227395202142,Whatnot_06_-_06-18-26-00005-949576,13.19
Revise,227395202559,Whatnot_06_-_06-18-26-00006-250628,16.79
Revise,227401632157,Whatnot_07_multi_-_06-23-26-00016-128346,4.79
Revise,227401633224,Whatnot_07_multi_-_06-23-26-00006-388408,9.49
Revise,227403929135,RBM-0001-00015-10174,3.29
Revise,227406408070,FB_Drake_Maye_-06-27-26-00007-724697,2.19
Revise,227406408131,FB_Drake_Maye_-06-27-26-00004-687281,2.89
Revise,227406408235,FB_Drake_Maye_-06-27-26-00010-959570,2.39
Revise,227406408292,FB_Drake_Maye_-06-27-26-00011-880577,2.39
Revise,227407756826,Whatnot_08_multi_06-28-26-00005-955149,3.39
Revise,227415206730,BC-000088-rrqjr,5.29
Revise,227415758983,FB-070326-00003-48163,12.99
Revise,227422915866,WBNA-070826-00021-53978,2.19
Revise,227422916886,WBNA-070826-00013-76906,12.09
Revise,227422916966,WBNA-070826-00015-54012,5.29
Revise,227422987272,MISC-070826-00003-15164,5.19
Revise,227424688853,RBBB5-0001-00059-49897,7.29
Revise,227424689895,POOKIEWHT-0001-00005-89326,5.29
Revise,227424702577,MISC-070926-00003-85731,14.99
Revise,227427289915,BB-071126-00017-05690,6.59
Revise,227427290164,BB-071126-00006-33040,7.29
Revise,227427290193,BB-071126-00040-79409,2.49
Revise,227427290317,BB-071126-00009-59661,3.29
Revise,227427290393,BB-071126-00004-09019,3.29
Revise,227428878324,Girkswhtnot-071226-00004-18231,11.09
Revise,227428878558,Girkswhtnot-071226-00002-20003,2.69
