Info,Version=1.0.0,Template=fx_category_template_EBAY_US,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),ItemID,CustomLabel,*StartPrice
Revise,227429830742,Misc-071326-00011-24852,80.89
Revise,227429830812,Misc-071326-00010-25062,75.99
Revise,227429830863,Misc-071326-00002-51370,7.29
Revise,227429830875,Misc-071326-00008-94192,66.29
Revise,227431508989,Whatnot-071426-00005-74858,5.59
Revise,227431509002,Whatnot-071426-00006-70611,5.29
Revise,227431509051,Whatnot-071426-00002-18039,5.89
Revise,227434640903,RBM-0002-00051-74105,4.59
Revise,227435767580,Misc-071726-00004-16432,19.59
Revise,227435855995,Misc-071726-00002-95708,6.19
Revise,227435856036,Misc-071726-00001-44008,9.69
Revise,227440023516,MATTSFB-072026-00009-86943,66.29
Revise,227440119539,BBB-000268-undd3,2.89
Revise,227440121176,RA-000080-s8hk9,9.59
Revise,227440121867,BAS-002210-necfl,9.69
Revise,227441643850,DREAMRP-0001-00003-04829,10.79
Revise,227448957757,FEARWHT-072626-00009-95992,5.19
Revise,227449022849,KKCWHT-072526-00002-40648,18.59
Revise,227451129302,WHATNOT-0003-00030-08352,16.49
Revise,227455465399,RBLOT-073026-00005-16096,6.29
Revise,227455465680,RBLOT-073026-00009-32274,2.89
Revise,227455465700,RBLOT-073026-00002-29424,2.19
Revise,227455465761,RBLOT-073026-00024-99349,4.39
Revise,227455465883,RBLOT-073026-00023-35576,4.69
Revise,227455556020,SocBox-073026-00019-29515,6.79
Revise,227455556130,SocBox-073026-00002-81040,2.19
Revise,227455556303,SocBox-073026-00013-58610,6.79
Revise,227455556505,SocBox-073026-00006-67915,6.79
Revise,227459491144,RBLOT-073026-00033-56981,5.29
Revise,227459491147,RBLOT-073026-00027-30544,11.59
Revise,227459491374,RBLOT-073026-00045-61071,5.79
Revise,227459491600,RBLOT-073026-00044-66133,7.69
Revise,227459491626,RBLOT-073026-00037-76973,5.79
Revise,227459491647,RBLOT-073026-00048-34979,2.39
Revise,227459491729,RBLOT-073026-00043-15886,2.39
Revise,227459491789,RBLOT-073026-00036-90735,8.69
Revise,227459491796,RBLOT-073026-00039-65798,3.59
Revise,227459491967,RBLOT-073026-00029-88716,2.39
Revise,227459492289,RBLOT-073026-00040-95265,2.39
Revise,227461084433,RBLOT-073026-00082-50792,2.39
Revise,227461084449,RBLOT-073026-00089-31625,2.39
Revise,227461084448,RBLOT-073026-00065-51405,2.39
Revise,227461084434,RBLOT-073026-00091-75264,2.39
Revise,227461084444,RBLOT-073026-00083-35342,5.79
Revise,227461084433,RBLOT-073026-00082-50792,2.39
Revise,227461084434,RBLOT-073026-00091-75264,2.79
Revise,227461084438,RBLOT-073026-00078-48585,7.09
Revise,227461084439,RBLOT-073026-00064-92607,2.19
Revise,227461084444,RBLOT-073026-00083-35342,5.79
Revise,227461084446,RBLOT-073026-00075-79219,5.69
Revise,227461084448,RBLOT-073026-00065-51405,2.39
Revise,227461084453,RBLOT-073026-00076-31245,7.09
Revise,227461084459,RBLOT-073026-00093-42036,7.19
Revise,227462337111,FBrelist-080426-0028,2.89
Revise,227462337223,FBrelist-080426-0061,9.99
Revise,227462337254,FBrelist-080426-0066,10.49
Revise,227462337312,FBrelist-080426-0068,7.29
Revise,227462337415,FBrelist-080426-0092,5.29
Revise,227462337426,FBrelist-080426-0096,5.29
Revise,227462337457,FBrelist-080426-0105,6.29
Revise,227462337493,FBrelist-080426-0121,6.29
Revise,227462337519,FBrelist-080426-0122,5.29
Revise,227462337689,FBrelist-080426-0196,2.39
Revise,227462337700,FBrelist-080426-0202,5.29
Revise,227462337819,FBrelist-080426-0244,7.69
Revise,227462337925,FBrelist-080426-0301,16.49
Revise,227462338065,FBrelist-080426-0367,67.39
Revise,227462338199,FBrelist-080426-0424,6.29
Revise,227462338218,FBrelist-080426-0421,4.79
Revise,227462338269,FBrelist-080426-0448,17.99
Revise,227462338324,FBrelist-080426-0464,7.79
Revise,227462338325,FBrelist-080426-0475,7.99
Revise,227462338327,FBrelist-080426-0477,6.79
Revise,227462338328,FBrelist-080426-0476,7.09
Revise,227462338330,FBrelist-080426-0478,6.29
Revise,227462338332,FBrelist-080426-0469,7.29
Revise,227462338427,FBrelist-080426-0526,15.09
Revise,227462338652,FBrelist-080426-0638,5.29
Revise,227462339111,FBrelist-080426-0814,15.49
Revise,227462339266,FBrelist-080426-0876,5.79
Revise,227462339268,FBrelist-080426-0875,2.39
Revise,227462339294,FBrelist-080426-0883,5.29
Revise,227462339307,FBrelist-080426-0884,7.89
Revise,227462339450,FBrelist-080426-0945,8.69
Revise,227462339452,FBrelist-080426-0939,2.59
Revise,227462339509,FBrelist-080426-0964,6.79
Revise,227462339557,FBrelist-080426-0977,5.29
Revise,227462339629,FBrelist-080426-1005,6.79
Revise,227462345837,FBrelist-080426-0043,5.79
Revise,227462345856,FBrelist-080426-0858,7.29
Revise,227462345860,FBrelist-080426-0578,3.09
