Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Matched to
227429830617,Misc-071326-00003-68916,2025 PANINI NSCC VIP GOLD PACKS KYLIAN MBAPPE,4.49,4.79,+0.30,+6.7%,UP,70%,
227429830661,Misc-071326-00007-43880,2024-25 TOPPS FINEST UEFA CLUB COMPETITIONS JUDE BELLINGHAM REAL MADRID,2.00,2.09,+0.09,+4.5%,UP,66%,
227429830702,Misc-071326-00005-43472,2024 LEAF EXCLUSIVE LEGENDS EDITION LIONEL MESSI ZLATAN IBRAHIMOVIC,6.00,6.19,+0.19,+3.2%,UP,84%,
227429830742,Misc-071326-00011-24852,2019 Topps Chrome LIONEL MESSI Sapphire UEFA Champions League Image Var,74.19,80.89,+6.70,+9.0%,UP,100%,
227429830760,Misc-071326-00001-20823,2023-24 PANINI DONRUSS ERLING HAALAND SILVER NORWAY,7.00,3.29,-3.71,-53.0%,DOWN,70%,
227429830812,Misc-071326-00010-25062,2019 TOPPS CHROME SAPPHIRE CRISTIANO RONALDO UEFA CHAMPIONS LEAGUE IMG VAR,69.19,75.99,+6.80,+9.8%,UP,100%,
227429830829,Misc-071326-00012-50151,2026 BOWMAN DAVID SHIELDS #CPA-DSH HTA CHOICE REFRACTOR /150 1ST PROSPECT AUTO,79.19,NO MATCH,,,NO PRICE,,
227429830863,Misc-071326-00002-51370,2023-24 PANINI DONRUSS ERLING HAALAND SILVER MAN CITY,6.49,7.29,+0.80,+12.3%,UP,100%,
227429830875,Misc-071326-00008-94192,2025-26 ToppsLAMINE YAMAL FC Barcelona Team Set Blue Rainbow Foil /150,59.19,66.29,+7.10,+12.0%,UP,100%,
227431508947,Whatnot-071426-00004-92045,2025 Panini Mosaic JAXSON DART #288 Rookie Variation RC Giants,2.49,1.99,-0.50,-20.1%,DOWN,87%,
227431508954,Whatnot-071426-00003-69347,2024 Bowman ETHAN SALAS #BCP-102 Mini Diamond Refractor Padres,2.79,2.69,-0.10,-3.6%,DOWN,69%,
227431508989,Whatnot-071426-00005-74858,2025 Panini Prizm TYLER WARREN #417 Rookie Variations Silver Colts,5.39,5.59,+0.20,+3.7%,UP,89%,
227431509002,Whatnot-071426-00006-70611,2025 Bowman HYUN-SEOK JANG #BCP-51 Reptilian Refractor 1st Prospect Dodgers,4.49,5.29,+0.80,+17.8%,UP,100%,
