Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Reason held,Matched to
227388666726,RBM-0001-00028-44139,2024-25 Panini REVOLUTION VICTOR WEMBANYAMA #79 Spurs Basketball,4.99,3.29,-1.70,-34.1%,DOWN,76%,Conf 76%<85% | Chg -34.1%>20%,
227388705512,WHATNOT-0003-00012-30882,2015 Topps Chrome MIGUEL CABRERA #162 Tigers,2.49,1.99,-0.50,-20.1%,DOWN,84%,Conf 84%<85% | Chg -20.1%>20%,
227388706134,WHATNOT-0003-00001-17156,2025 Topps Chrome MASON MILLER #142 Sepia Refractor Athletics,4.49,1.99,-2.50,-55.7%,DOWN,75%,Conf 75%<85% | Chg -55.7%>20%,
227388706205,WHATNOT-0003-00023-93735,2023 Bowman TONY BLANCO JR. #BCP-134 Chrome Fuchsia Refractor /199 1st Prospect,33.59,41.49,+7.90,+23.5%,UP,100%,Chg +23.5%>20%,
227390398588,WHATNOT-0003-00051-43157,2026 Bowman NOLAN MCLEAN #BST-8 Sterling Chrome RC Mets Rookie,2.49,1.99,-0.50,-20.1%,DOWN,86%,Chg -20.1%>20%,
227390398678,WHATNOT-0003-00042-51647,2025 Bowman Draft JOJO PARKER #PP-9 Chrome Prized Prospects Blue Jays,2.49,1.99,-0.50,-20.1%,DOWN,87%,Chg -20.1%>20%,
227390398751,WHATNOT-0003-00048-23812,2024 Bowman SAMUEL BASALLO #PP-8 Prospect Power Up Orioles,2.49,1.99,-0.50,-20.1%,DOWN,85%,Chg -20.1%>20%,
227390398787,WHATNOT-0003-00050-32649,2023 Bowman Mega Box DEYVISON DE LOS SANTOS #BCP-116 Prospects Mojo Refractor,2.49,2.19,-0.30,-12.0%,DOWN,78%,Conf 78%<85%,
227390398811,WHATNOT-0003-00039-37776,2026 Bowman EDWARD FLORENTINO #UR-9 Under the Radar Chrome Pirates,2.99,1.99,-1.00,-33.4%,DOWN,68%,Conf 68%<85% | Chg -33.4%>20%,
227390398889,WHATNOT-0003-00047-15056,2023 Bowman's Best JOSH JUNG #AP-28 Astral Projections RC Rangers Rookie,4.99,2.89,-2.10,-42.1%,DOWN,79%,Conf 79%<85% | Chg -42.1%>20%,
227390399311,WHATNOT-0003-00044-48044,2025 Bowman Draft MIKE SIROTA #BDC-11 Chrome Dodgers,2.49,1.99,-0.50,-20.1%,DOWN,67%,Conf 67%<85% | Chg -20.1%>20%,
227390399351,WHATNOT-0003-00053-00804,2026 Bowman COLT EMERSON #UR-4 Under the Radar Chrome Mariners,2.49,1.99,-0.50,-20.1%,DOWN,68%,Conf 68%<85% | Chg -20.1%>20%,
227390399523,WHATNOT-0003-00046-75516,2025 Bowman Draft RAINIEL RODRIGUEZ #BDC-72 Chrome Cardinals Football,4.99,4.79,-0.20,-4.0%,DOWN,79%,Conf 79%<85%,
227390400161,WHATNOT-0003-00049-10647,2022 Bowman's Best ELLY DE LA CRUZ #TP-17 Top Prospects Refractor Reds,4.39,5.59,+1.20,+27.3%,UP,84%,Conf 84%<85% | Chg +27.3%>20%,
227391886595,WHATNOT-0003-00015-85552,2026 Bowman LEO DE VRIES #BTP-3 Scouts Top 100 Chrome Athletics,2.49,1.99,-0.50,-20.1%,DOWN,87%,Chg -20.1%>20%,
227391886657,WHATNOT-0003-00009-29985,2026 Bowman SHOTARO MORII #BTP-75 Scouts Top 100 Chrome Athletics,2.49,1.99,-0.50,-20.1%,DOWN,78%,Conf 78%<85% | Chg -20.1%>20%,
227391886839,WHATNOT-0003-00007-15627,2026 Bowman KAYSON CUNNINGHAM #BTP-79 Scouts Top 100 Chrome Diamondbacks,2.49,1.99,-0.50,-20.1%,DOWN,85%,Chg -20.1%>20%,
227391886927,WHATNOT-0003-00022-18060,2026 Bowman AARON JUDGE #ES-15 Electric Sluggers Chrome Yankees,2.49,1.99,-0.50,-20.1%,DOWN,79%,Conf 79%<85% | Chg -20.1%>20%,
227391886945,WHATNOT-0003-00019-49382,2026 Bowman JOSUE DE PAULA #UR-14 Under the Radar Chrome Dodgers,2.99,1.99,-1.00,-33.4%,DOWN,66%,Conf 66%<85% | Chg -33.4%>20%,
227391887006,WHATNOT-0003-00013-20799,2026 Bowman JAC CAGLIANONE #BST-14 Sterling Chrome RC Royals Rookie,2.49,1.99,-0.50,-20.1%,DOWN,86%,Chg -20.1%>20%,
227391887036,WHATNOT-0003-00008-14897,2026 Bowman MIKE TROUT #ES-25 Electric Sluggers Chrome Angels,2.49,1.99,-0.50,-20.1%,DOWN,88%,Chg -20.1%>20%,
227391887049,WHATNOT-0003-00021-23650,2026 Bowman CAM SCHLITTLER #UR-2 Under the Radar Chrome RC Yankees Rookie,2.49,1.99,-0.50,-20.1%,DOWN,88%,Chg -20.1%>20%,
227391887149,WHATNOT-0003-00006-97578,2026 Bowman LUIS MORALES #49 Chrome Rookie Red RC Variation Athletics,2.49,1.99,-0.50,-20.1%,DOWN,88%,Chg -20.1%>20%,
227395201379,Whatnot_06_-_06-18-26-00036-832765,2026 Bowman Mega Box FERNANDO TATIS JR. #ES-3 Electric Sluggers Chrome Mojo,2.99,15.99,+13.00,+434.8%,UP,70%,Conf 70%<85% | Chg +434.8%>20%,
227395201419,Whatnot_06_-_06-18-26-00034-030714,2026 Bowman XAVIER NEYENS #BCP-133 Chrome Prospects Lazer Refractor Astros,3.49,1.99,-1.50,-43.0%,DOWN,69%,Conf 69%<85% | Chg -43.0%>20%,
227395201436,Whatnot_06_-_06-18-26-00015-665394,2025 Topps ELLY DE LA CRUZ #SMLB-13 Stars of MLB Reds,2.99,1.99,-1.00,-33.4%,DOWN,66%,Conf 66%<85% | Chg -33.4%>20%,
227395201493,Whatnot_06_-_06-18-26-00029-365338,2026 Bowman SEOJUN MOON #BCP-127 Chrome 1st Prospect Blue Jays,2.99,1.99,-1.00,-33.4%,DOWN,68%,Conf 68%<85% | Chg -33.4%>20%,
227395201539,Whatnot_06_-_06-18-26-00016-910223,2026 Topps Series 1 ROMAN ANTHONY #189 RC Red Sox Rookie,2.49,1.99,-0.50,-20.1%,DOWN,84%,Conf 84%<85% | Chg -20.1%>20%,
