Batch,Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Reason held,Matched to
batch01,227429830617,Misc-071326-00003-68916,2025 PANINI NSCC VIP GOLD PACKS KYLIAN MBAPPE,4.49,4.79,+0.30,+6.7%,UP,70%,Conf 70%<85%,
batch01,227429830661,Misc-071326-00007-43880,2024-25 TOPPS FINEST UEFA CLUB COMPETITIONS JUDE BELLINGHAM REAL MADRID,2.00,2.09,+0.09,+4.5%,UP,66%,Conf 66%<85%,
batch01,227429830702,Misc-071326-00005-43472,2024 LEAF EXCLUSIVE LEGENDS EDITION LIONEL MESSI ZLATAN IBRAHIMOVIC,6.00,6.19,+0.19,+3.2%,UP,84%,Conf 84%<85%,
batch01,227431508947,Whatnot-071426-00004-92045,2025 Panini Mosaic JAXSON DART #288 Rookie Variation RC Giants,2.49,1.99,-0.50,-20.1%,DOWN,87%,Chg -20.1%>20%,
batch01,227431508954,Whatnot-071426-00003-69347,2024 Bowman ETHAN SALAS #BCP-102 Mini Diamond Refractor Padres,2.79,2.69,-0.10,-3.6%,DOWN,69%,Conf 69%<85%,
batch01,227431509044,Whatnot-071426-00001-66175,2025-26 Topps Chrome TYLER HERRO #188 Negative Refractor Heat,3.99,5.29,+1.30,+32.6%,UP,100%,Chg +32.6%>20%,
batch01,227440131015,FB-1472-i7a6q,2024 Donruss Optic JALEN CARTER #163 One Hundred 💯 Emoji Eagles Football,34.19,42.09,+7.90,+23.1%,UP,100%,Chg +23.1%>20%,
batch01,227440132593,CDP-32D2EDB,2022-23 Panini Obsidian GAVI Atomic Red Electric Etch Patch Swatch /44 Barcelona,38.19,45.99,+7.80,+20.4%,UP,100%,Chg +20.4%>20%,
batch01,227448634921,EBAY-0002-00008-94704,2025 Bowman's Best NICK KURTZ #BS-2 Showpieces RC Athletics Rookie,6.59,6.89,+0.30,+4.6%,UP,72%,Conf 72%<85%,
batch01,227448957748,FEARWHT-072626-00003-79806,2026 Bowman Sapphire BRADEN MONTGOMERY #BCP-53 White Sox,2.99,3.69,+0.70,+23.4%,UP,85%,Chg +23.4%>20%,
batch01,227448957770,FEARWHT-072626-00002-41881,2026 Bowman Sapphire BLAKE MITCHELL #BCP-13 Royals,2.99,2.39,-0.60,-20.1%,DOWN,85%,Chg -20.1%>20%,
batch01,227448957788,FEARWHT-072626-00006-22538,2026 Bowman Sapphire CRISTOPHER POLANCO #BCP-34 Blue Jays,1.99,2.89,+0.90,+45.2%,UP,100%,Chg +45.2%>20%,
batch01,227448957791,FEARWHT-072626-00005-24561,2023 Bowman Draft Sapphire DREW GILBERT #BCP-16 1st Prospect Astros,3.99,4.79,+0.80,+20.1%,UP,100%,Chg +20.1%>20%,
batch01,227448957794,FEARWHT-072626-00001-50625,2026 Bowman Sapphire JOSH OWENS #BCP-62 Rangers,7.99,2.89,-5.10,-63.8%,DOWN,72%,Conf 72%<85% | Chg -63.8%>20%,
batch01,227449022869,KKCWHT-072526-00004-23393,2025 Panini Prizm Draft Picks ARCH MANNING #166 Green Rated Prospect Longhorns,30.19,38.19,+8.00,+26.5%,UP,100%,Chg +26.5%>20%,
batch01,227449170124,KKCWHT-072626-00006-71402,2025 Panini Donruss Optic OMARION HAMPTON #212 Rated Rookie Chargers,1.59,1.99,+0.40,+25.2%,UP,89%,Chg +25.2%>20%,
batch01,227449170125,KKCWHT-072626-00002-64119,2025 Panini Donruss Optic CHRISTIAN MCCAFFREY #20 Play Action 49ers,2.49,1.99,-0.50,-20.1%,DOWN,86%,Chg -20.1%>20%,
batch01,227449170128,KKCWHT-072626-00009-16446,2025 Panini Donruss Optic QUINSHON JUDKINS #252 Rated Rookie Browns,1.50,1.99,+0.49,+32.7%,UP,85%,Chg +32.7%>20%,
batch01,227449170130,KKCWHT-072626-00003-11411,2025 Panini Donruss Optic JACK SAWYER #220 Rated Rookie Steelers,2.49,1.99,-0.50,-20.1%,DOWN,85%,Chg -20.1%>20%,
batch01,227449170131,KKCWHT-072626-00005-05359,2025 Panini Donruss Optic JALEN MILROE #253 Rated Rookie Seahawks,1.59,1.99,+0.40,+25.2%,UP,64%,Conf 64%<85% | Chg +25.2%>20%,
batch01,227449170132,KKCWHT-072626-00008-59423,2025 Panini Donruss Optic COLSTON LOVELAND #204 Rated Rookie Bears,2.49,1.99,-0.50,-20.1%,DOWN,87%,Chg -20.1%>20%,
batch01,227449170133,KKCWHT-072626-00007-77081,2025 Panini Donruss Optic ABDUL CARTER #300 Rated Rookie Giants,2.49,1.99,-0.50,-20.1%,DOWN,85%,Chg -20.1%>20%,
batch01,227449170157,KKCWHT-072626-00001-84891,2025 Panini Donruss Optic MALIK NABERS #2 Chain Reaction Giants,1.50,1.99,+0.49,+32.7%,UP,68%,Conf 68%<85% | Chg +32.7%>20%,
