Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Reason held,Matched to
227429830742,Misc-071326-00011-24852,2019 Topps Chrome LIONEL MESSI Sapphire UEFA Champions League Image Var,74.19,80.89,+6.70,+9.0%,UP,100%,,
227429830812,Misc-071326-00010-25062,2019 TOPPS CHROME SAPPHIRE CRISTIANO RONALDO UEFA CHAMPIONS LEAGUE IMG VAR,69.19,75.99,+6.80,+9.8%,UP,100%,,
227429830863,Misc-071326-00002-51370,2023-24 PANINI DONRUSS ERLING HAALAND SILVER MAN CITY,6.49,7.29,+0.80,+12.3%,UP,100%,,
227429830875,Misc-071326-00008-94192,2025-26 ToppsLAMINE YAMAL FC Barcelona Team Set Blue Rainbow Foil /150,59.19,66.29,+7.10,+12.0%,UP,100%,,
227431508989,Whatnot-071426-00005-74858,2025 Panini Prizm TYLER WARREN #417 Rookie Variations Silver Colts,5.39,5.59,+0.20,+3.7%,UP,89%,,
227431509002,Whatnot-071426-00006-70611,2025 Bowman HYUN-SEOK JANG #BCP-51 Reptilian Refractor 1st Prospect Dodgers,4.49,5.29,+0.80,+17.8%,UP,100%,,
227431509051,Whatnot-071426-00002-18039,2025 Panini Prizm Draft Picks CAM SKATTEBO #9 Gold Ice RC Sun Devils,6.49,5.89,-0.60,-9.2%,DOWN,87%,,
227434640903,RBM-0002-00051-74105,2025 Bowman's Best NICK KURTZ #42 Refractor RC Athletics Rookie,5.29,4.59,-0.70,-13.2%,DOWN,89%,,
227435767580,Misc-071726-00004-16432,2025 Topps Finest CONNOR NORBY #RAJR-CN /299 MEM RC Auto Marlins,19.19,19.59,+0.40,+2.1%,UP,100%,,
227435855995,Misc-071726-00002-95708,2025-26 Topps COOPER FLAGG #201 RC Mavericks ROY,6.39,6.19,-0.20,-3.1%,DOWN,86%,,
227435856036,Misc-071726-00001-44008,2022 Panini Prizm SAQUON BARKLEY #218 Purple /125 Giants,8.99,9.69,+0.70,+7.8%,UP,100%,,
227440023516,MATTSFB-072026-00009-86943,2021 Topps Triple Threads AARON JUDGE #86 Citrine /75 Yankees,59.19,66.29,+7.10,+12.0%,UP,100%,,
227440119539,BBB-000268-undd3,2025 Bowman Sapphire JAVIER MOGOLLON #BCP-68 Chicago White Sox,2.49,2.89,+0.40,+16.1%,UP,87%,,
227440121176,RA-000080-s8hk9,2025-26 Topps Chrome KARL-ANTHONY TOWNS #179 Negative Refractor New York Knicks,9.89,9.59,-0.30,-3.0%,DOWN,86%,,
227440121867,BAS-002210-necfl,2024 Topps Heritage ADDISON BARGER #725 Chrome Purple Ref Blue Jays,8.99,9.69,+0.70,+7.8%,UP,100%,,
227441643850,DREAMRP-0001-00003-04829,2024 Topps Triple Threads NOLAN RYAN #25 Amber 46/199 Angels HOF Legend!,10.19,10.79,+0.60,+5.9%,UP,100%,,
227448957757,FEARWHT-072626-00009-95992,2026 Bowman Sapphire GAVIN KILEN #BCP-136 Giants,4.99,5.19,+0.20,+4.0%,UP,87%,,
227449022849,KKCWHT-072526-00002-40648,2025 Panini Prizm CAM SKATTEBO #RGR-CSO Rookie Gear Pink (MEM RC) Giants,18.19,18.59,+0.40,+2.2%,UP,100%,,
227451129302,WHATNOT-0003-00030-08352,2025 Bowman's Best NICK KURTZ #42 Purple Lazer Ref /250 RC Athletics Rookie ROY!,15.99,16.49,+0.50,+3.1%,UP,100%,,
227455465399,RBLOT-073026-00005-16096,2026 Topps Tier One JULIO RODRIGUEZ #47 Bronze Foil Mariners,5.49,6.29,+0.80,+14.6%,UP,100%,,
227455465680,RBLOT-073026-00009-32274,2026 Bowman Mega Box JJ WETHERHOLT #BCP-115 Mojo Refractor Cardinals,2.49,2.89,+0.40,+16.1%,UP,88%,,
227455465700,RBLOT-073026-00002-29424,2025 Topps Inception RYAN BLISS #24 RC Mariners,2.49,2.19,-0.30,-12.0%,DOWN,85%,,
227455465761,RBLOT-073026-00024-99349,2026 Bowman Mega Box CAM SCHLITTLER #53 Mojo Refractor RC Yankees,4.69,4.39,-0.30,-6.4%,DOWN,86%,,
227455465883,RBLOT-073026-00023-35576,2026 Bowman DANIEL PIERCE #BP-77 Fuchsia Border /299 1st Prospect Rays,4.49,4.69,+0.20,+4.5%,UP,100%,,
227455556020,SocBox-073026-00019-29515,2026 PANINI PRIZM WORLD CUP NGAL'AYEL MUKAU WAVE COD,5.99,6.79,+0.80,+13.4%,UP,100%,,
227455556130,SocBox-073026-00002-81040,2026 PANINI PRIZM WORLD CUP BRADLEY BARCOLA SCREAMERS SILVER FRANCE,2.49,2.19,-0.30,-12.0%,DOWN,85%,,
227455556303,SocBox-073026-00013-58610,2026 PANINI PRIZM WORLD CUP KEREM AKTURKOGLU FUCHSIA WAVE /65 TURKEY,5.99,6.79,+0.80,+13.4%,UP,100%,,
227455556505,SocBox-073026-00006-67915,2026 PANINI PRIZM WORLD CUP KENDRY PAEZ WAVE ECU,5.99,6.79,+0.80,+13.4%,UP,100%,,
227459491144,RBLOT-073026-00033-56981,2025 TOPPS UEFA CLUB COMPETITION FINEST ERLING HAALAND #FM-7 Soccer,4.50,5.29,+0.79,+17.6%,UP,100%,,
227459491147,RBLOT-073026-00027-30544,2025-26 Bowman ADDISON DEAL #CPA-AE Chrome Auto 1st Prospect Hawkeyes,10.99,11.59,+0.60,+5.5%,UP,100%,,
227459491374,RBLOT-073026-00045-61071,2026 Bowman VICTOR FIGUEROA #BP-117 Neon Green Border /399 1st Prospect Orioles,4.99,5.79,+0.80,+16.0%,UP,100%,,
227459491600,RBLOT-073026-00044-66133,2026 Bowman ANDREW FISCHER #BCP-149 Reptilian Refractor 1st Prospect Brewers,6.99,7.69,+0.70,+10.0%,UP,100%,,
227459491626,RBLOT-073026-00037-76973,2025-26 Topps Hoops DEJOUNTE MURRAY #231 Light Burst Purple /99 Pelicans,4.99,5.79,+0.80,+16.0%,UP,100%,,
227459491647,RBLOT-073026-00048-34979,2026 PANINI PRIZM FIFA WORLD CUP MUSAB AL-JUWAYR PANDORA SAUDI ARABIA NT Soccer,2.49,2.39,-0.10,-4.0%,DOWN,100%,,
227459491729,RBLOT-073026-00043-15886,2026 Bowman Mega Box JAKOB MARSEE #86 Sky Blue Mojo Refractor /499 RC Marlins,2.49,2.39,-0.10,-4.0%,DOWN,100%,,
227459491789,RBLOT-073026-00036-90735,SHAI GILGEOUS-ALEXANDER 2025 Topps Hoops #FP-1 First Round NBA Basketball Card,7.99,8.69,+0.70,+8.8%,UP,100%,,
227459491796,RBLOT-073026-00039-65798,2025-26 Topps Hoops SHAI GILGEOUS-ALEXANDER #H-2 Hoopers Thunder,4.19,3.59,-0.60,-14.3%,DOWN,88%,,
227459491967,RBLOT-073026-00029-88716,ADDISON DEAL 🔥 2025 Bowman Chrome #BCP-50 Reptilian Refractor 1st Prospect RC,2.49,2.39,-0.10,-4.0%,DOWN,100%,,
227459492289,RBLOT-073026-00040-95265,ADDISON DEAL 2025 Bowman #BCP-50 Speckle Refractor /299 1st Prospect,2.49,2.39,-0.10,-4.0%,DOWN,100%,,
227461084433,RBLOT-073026-00082-50792,2022-23 Topps Chrome MLS COREY BAIRD Pink X Fractor Dynamo,2.49,2.39,-0.10,-4.0%,DOWN,100%,,
227461084449,RBLOT-073026-00089-31625,2026 Bowman JORGE QUINTANA #BCP-93 Reptilian Refractor 1st Prospect Padres,2.49,2.39,-0.10,-4.0%,DOWN,100%,,
227461084448,RBLOT-073026-00065-51405,2026 Panini Prizm World Cup EDSON ALVAREZ Global Reach Silver Mexico,2.59,2.39,-0.20,-7.7%,DOWN,85%,,
227461084434,RBLOT-073026-00091-75264,2026 Bowman MAREK HOUSTON #BCP-16 Lazer Refractor 1st Prospect Twins,2.49,2.39,-0.10,-4.0%,DOWN,100%,,
227461084444,RBLOT-073026-00083-35342,2026 Panini Prizm World Cup GABRIEL MARTINELLI Fluorescent Blue Wave /225 Brazil,4.99,5.79,+0.80,+16.0%,UP,100%,,
227461084433,RBLOT-073026-00082-50792,2022-23 Topps Chrome MLS COREY BAIRD Pink X Fractor Dynamo Soccer,2.49,2.39,-0.10,-4.0%,DOWN,88%,,
227461084434,RBLOT-073026-00091-75264,2026 Bowman Chrome MAREK HOUSTON #BCP-16 Lazer Refractor 1st Prospect RC Twins,2.49,2.79,+0.30,+12.0%,UP,87%,,
227461084438,RBLOT-073026-00078-48585,2026 Panini Prizm World Cup ALESSANDRO CIRCATI Orange Wave Prizm /125 Australia,6.29,7.09,+0.80,+12.7%,UP,100%,,
227461084439,RBLOT-073026-00064-92607,2026 Panini Prizm FIFA World Cup UNAI SIMON Wave Prizm Spain Soccer,2.49,2.19,-0.30,-12.0%,DOWN,87%,,
227461084444,RBLOT-073026-00083-35342,2026 Panini Prizm World Cup GABRIEL MARTINELLI Fluorescent Blue Wave /225 Brazil,4.99,5.79,+0.80,+16.0%,UP,100%,,
227461084446,RBLOT-073026-00075-79219,2026 PANINI PRIZM WORLD CUP ALESSANDRO CIRCATI #140 FLUORESCENT BLUE WAVE /225,4.89,5.69,+0.80,+16.4%,UP,100%,,
227461084448,RBLOT-073026-00065-51405,2026 Panini Prizm FIFA World Cup EDSON ALVAREZ Global Reach Silver Prizm Mexico,2.59,2.39,-0.20,-7.7%,DOWN,87%,,
227461084453,RBLOT-073026-00076-31245,2026 Panini Prizm World Cup FRANCK KESSIE Fluorescent Blue Wave Prizm /225 CIV,6.29,7.09,+0.80,+12.7%,UP,100%,,
227461084459,RBLOT-073026-00093-42036,2025-26 Topps Hoops TRAE YOUNG #293 Rainbow Gold And Green Foil /199 All-Star,6.39,7.19,+0.80,+12.5%,UP,100%,,
227462337111,FBrelist-080426-0028,JOE ALT 2024 Panini Absolute Rookies #105 Red white Blue RC Chargers Football,2.99,2.89,-0.10,-3.3%,DOWN,85%,,
227462337223,FBrelist-080426-0061,2023 Prestige LAMAR JACKSON XTRA POINTS Purple #/99 #24 Ravens Football,9.29,9.99,+0.70,+7.5%,UP,100%,,
227462337254,FBrelist-080426-0066,2024 Select XAVIER LEGETTE Rookie Swatches Prizm #RS-XLE RC /125 Patch Panthers,9.79,10.49,+0.70,+7.2%,UP,100%,,
