Item number,SKU,Title,Current price,TCP price,Change $,Change %,Direction,Confidence,Reason held,Matched to
227429830617,Misc-071326-00003-68916,2025 PANINI NSCC VIP GOLD PACKS KYLIAN MBAPPE,4.49,4.79,+0.30,+6.7%,UP,70%,Confidence 70%<85%,
227429830661,Misc-071326-00007-43880,2024-25 TOPPS FINEST UEFA CLUB COMPETITIONS JUDE BELLINGHAM REAL MADRID,2.00,2.09,+0.09,+4.5%,UP,66%,Confidence 66%<85%,
227429830702,Misc-071326-00005-43472,2024 LEAF EXCLUSIVE LEGENDS EDITION LIONEL MESSI ZLATAN IBRAHIMOVIC,6.00,6.19,+0.19,+3.2%,UP,84%,Confidence 84%<85%,
227431508947,Whatnot-071426-00004-92045,2025 Panini Mosaic JAXSON DART #288 Rookie Variation RC Giants,2.49,1.99,-0.50,-20.1%,DOWN,87%,Change -20.1%>20%,
227431508954,Whatnot-071426-00003-69347,2024 Bowman ETHAN SALAS #BCP-102 Mini Diamond Refractor Padres,2.79,2.69,-0.10,-3.6%,DOWN,69%,Confidence 69%<85%,
227431509044,Whatnot-071426-00001-66175,2025-26 Topps Chrome TYLER HERRO #188 Negative Refractor Heat,3.99,5.29,+1.30,+32.6%,UP,100%,Change +32.6%>20%,
227440131015,FB-1472-i7a6q,2024 Donruss Optic JALEN CARTER #163 One Hundred 💯 Emoji Eagles Football,34.19,42.09,+7.90,+23.1%,UP,100%,Change +23.1%>20%,
227440132593,CDP-32D2EDB,2022-23 Panini Obsidian GAVI Atomic Red Electric Etch Patch Swatch /44 Barcelona,38.19,45.99,+7.80,+20.4%,UP,100%,Change +20.4%>20%,
227448634921,EBAY-0002-00008-94704,2025 Bowman's Best NICK KURTZ #BS-2 Showpieces RC Athletics Rookie,6.59,6.89,+0.30,+4.6%,UP,72%,Confidence 72%<85%,
227448957748,FEARWHT-072626-00003-79806,2026 Bowman Sapphire BRADEN MONTGOMERY #BCP-53 White Sox,2.99,3.69,+0.70,+23.4%,UP,85%,Change +23.4%>20%,
227448957770,FEARWHT-072626-00002-41881,2026 Bowman Sapphire BLAKE MITCHELL #BCP-13 Royals,2.99,2.39,-0.60,-20.1%,DOWN,85%,Change -20.1%>20%,
227448957788,FEARWHT-072626-00006-22538,2026 Bowman Sapphire CRISTOPHER POLANCO #BCP-34 Blue Jays,1.99,2.89,+0.90,+45.2%,UP,100%,Change +45.2%>20%,
227448957791,FEARWHT-072626-00005-24561,2023 Bowman Draft Sapphire DREW GILBERT #BCP-16 1st Prospect Astros,3.99,4.79,+0.80,+20.1%,UP,100%,Change +20.1%>20%,
227448957794,FEARWHT-072626-00001-50625,2026 Bowman Sapphire JOSH OWENS #BCP-62 Rangers,7.99,2.89,-5.10,-63.8%,DOWN,72%,Confidence 72%<85% | Change -63.8%>20%,
227449022869,KKCWHT-072526-00004-23393,2025 Panini Prizm Draft Picks ARCH MANNING #166 Green Rated Prospect Longhorns,30.19,38.19,+8.00,+26.5%,UP,100%,Change +26.5%>20%,
227449170124,KKCWHT-072626-00006-71402,2025 Panini Donruss Optic OMARION HAMPTON #212 Rated Rookie Chargers,1.59,1.99,+0.40,+25.2%,UP,89%,Change +25.2%>20%,
