Item number,Custom label (SKU),Title,New price,Confidence
227429830617,Misc-071326-00003-68916,2025 PANINI NSCC VIP GOLD PACKS KYLIAN MBAPPE,4.79,70%
227429830661,Misc-071326-00007-43880,2024-25 TOPPS FINEST UEFA CLUB COMPETITIONS JUDE BELLINGHAM REAL MADRID,2.09,66%
227429830702,Misc-071326-00005-43472,2024 LEAF EXCLUSIVE LEGENDS EDITION LIONEL MESSI ZLATAN IBRAHIMOVIC,6.19,84%
227429830742,Misc-071326-00011-24852,2019 Topps Chrome LIONEL MESSI Sapphire UEFA Champions League Image Var,80.89,100%
227429830760,Misc-071326-00001-20823,2023-24 PANINI DONRUSS ERLING HAALAND SILVER NORWAY,3.29,70%
227429830812,Misc-071326-00010-25062,2019 TOPPS CHROME SAPPHIRE CRISTIANO RONALDO UEFA CHAMPIONS LEAGUE IMG VAR,75.99,100%
227429830863,Misc-071326-00002-51370,2023-24 PANINI DONRUSS ERLING HAALAND SILVER MAN CITY,7.29,100%
227429830875,Misc-071326-00008-94192,2025-26 ToppsLAMINE YAMAL FC Barcelona Team Set Blue Rainbow Foil /150,66.29,100%
227431508947,Whatnot-071426-00004-92045,2025 Panini Mosaic JAXSON DART #288 Rookie Variation RC Giants,1.99,87%
227431508954,Whatnot-071426-00003-69347,2024 Bowman ETHAN SALAS #BCP-102 Mini Diamond Refractor Padres,2.69,69%
227431508989,Whatnot-071426-00005-74858,2025 Panini Prizm TYLER WARREN #417 Rookie Variations Silver Colts,5.59,89%
227431509002,Whatnot-071426-00006-70611,2025 Bowman HYUN-SEOK JANG #BCP-51 Reptilian Refractor 1st Prospect Dodgers,5.29,100%
227431509044,Whatnot-071426-00001-66175,2025-26 Topps Chrome TYLER HERRO #188 Negative Refractor Heat,5.29,100%
227431509051,Whatnot-071426-00002-18039,2025 Panini Prizm Draft Picks CAM SKATTEBO #9 Gold Ice RC Sun Devils,5.89,87%
227434640903,RBM-0002-00051-74105,2025 Bowman's Best NICK KURTZ #42 Refractor RC Athletics Rookie,4.59,89%
227435767580,Misc-071726-00004-16432,2025 Topps Finest CONNOR NORBY #RAJR-CN /299 MEM RC Auto Marlins,19.59,100%
227435855995,Misc-071726-00002-95708,2025-26 Topps COOPER FLAGG #201 RC Mavericks ROY,6.19,86%
227435856036,Misc-071726-00001-44008,2022 Panini Prizm SAQUON BARKLEY #218 Purple /125 Giants,9.69,100%
227435856046,Misc-071726-00006-19302,2026 Topps Perennial All-Stars SHOHEI OHTANI PAS-9 Los Angeles Dodgers,2.19,89%
227435856079,Misc-071726-00005-14855,2026 Topps Series 1 SHOHEI OHTANI 8-Bit Ballers #8B-7 Dodgers,3.69,79%
,227438445657,Leaf Exclusive Legends Double LAMINE YAMAL LIONEL MESSI Serial #7/20 SSP Soccer,143.89,100%
227440023516,MATTSFB-072026-00009-86943,2021 Topps Triple Threads AARON JUDGE #86 Citrine /75 Yankees,66.29,100%
227440119539,BBB-000268-undd3,2025 Bowman Sapphire JAVIER MOGOLLON #BCP-68 Chicago White Sox,2.89,87%
227440121176,RA-000080-s8hk9,2025-26 Topps Chrome KARL-ANTHONY TOWNS #179 Negative Refractor New York Knicks,9.59,86%
227440121867,BAS-002210-necfl,2024 Topps Heritage ADDISON BARGER #725 Chrome Purple Ref Blue Jays,9.69,100%
227440131015,FB-1472-i7a6q,2024 Donruss Optic JALEN CARTER #163 One Hundred 💯 Emoji Eagles Football,42.09,100%
227440132593,CDP-32D2EDB,2022-23 Panini Obsidian GAVI Atomic Red Electric Etch Patch Swatch /44 Barcelona,45.99,100%
227441643850,DREAMRP-0001-00003-04829,2024 Topps Triple Threads NOLAN RYAN #25 Amber 46/199 Angels HOF Legend!,10.79,100%
227448634921,EBAY-0002-00008-94704,2025 Bowman's Best NICK KURTZ #BS-2 Showpieces RC Athletics Rookie,6.89,72%
227448957748,FEARWHT-072626-00003-79806,2026 Bowman Sapphire BRADEN MONTGOMERY #BCP-53 White Sox,3.69,85%
227448957757,FEARWHT-072626-00009-95992,2026 Bowman Sapphire GAVIN KILEN #BCP-136 Giants,5.19,87%
227448957770,FEARWHT-072626-00002-41881,2026 Bowman Sapphire BLAKE MITCHELL #BCP-13 Royals,2.39,85%
227448957788,FEARWHT-072626-00006-22538,2026 Bowman Sapphire CRISTOPHER POLANCO #BCP-34 Blue Jays,2.89,100%
227448957791,FEARWHT-072626-00005-24561,2023 Bowman Draft Sapphire DREW GILBERT #BCP-16 1st Prospect Astros,4.79,100%
227448957794,FEARWHT-072626-00001-50625,2026 Bowman Sapphire JOSH OWENS #BCP-62 Rangers,2.89,72%
227449022849,KKCWHT-072526-00002-40648,2025 Panini Prizm CAM SKATTEBO #RGR-CSO Rookie Gear Pink (MEM RC) Giants,18.59,100%
227449022869,KKCWHT-072526-00004-23393,2025 Panini Prizm Draft Picks ARCH MANNING #166 Green Rated Prospect Longhorns,38.19,100%
227449170124,KKCWHT-072626-00006-71402,2025 Panini Donruss Optic OMARION HAMPTON #212 Rated Rookie Chargers,1.99,89%
227449170125,KKCWHT-072626-00002-64119,2025 Panini Donruss Optic CHRISTIAN MCCAFFREY #20 Play Action 49ers,1.99,86%
227449170128,KKCWHT-072626-00009-16446,2025 Panini Donruss Optic QUINSHON JUDKINS #252 Rated Rookie Browns,1.99,85%
227449170130,KKCWHT-072626-00003-11411,2025 Panini Donruss Optic JACK SAWYER #220 Rated Rookie Steelers,1.99,85%
227449170131,KKCWHT-072626-00005-05359,2025 Panini Donruss Optic JALEN MILROE #253 Rated Rookie Seahawks,1.99,64%
227449170132,KKCWHT-072626-00008-59423,2025 Panini Donruss Optic COLSTON LOVELAND #204 Rated Rookie Bears,1.99,87%
227449170133,KKCWHT-072626-00007-77081,2025 Panini Donruss Optic ABDUL CARTER #300 Rated Rookie Giants,1.99,85%
227449170137,KKCWHT-072626-00004-59608,2025 Panini Donruss Optic WILL HOWARD #233 Rated Rookie Steelers,1.99,84%
227449170157,KKCWHT-072626-00001-84891,2025 Panini Donruss Optic MALIK NABERS #2 Chain Reaction Giants,1.99,68%
227451129302,WHATNOT-0003-00030-08352,2025 Bowman's Best NICK KURTZ #42 Purple Lazer Ref /250 RC Athletics Rookie ROY!,16.49,100%
227455465003,RBLOT-073026-00004-12732,2025 Topps Inception MARCELO MAYER #30 Green RC Red Sox,5.19,88%
227455465139,RBLOT-073026-00008-22021,2026 Bowman Mega Box SAL STEWART #6 Mojo Refractor RC Reds,1.99,80%
227455465146,RBLOT-073026-00016-40014,2026 Bowman Mega Box ETHAN HOLLIDAY #BCP-1 Mojo Refractor 1st Prospect Rockies,4.19,87%
227455465223,RBLOT-073026-00010-30202,2025 Topps Inception CARLOS NARVAEZ #77 Green RC Red Sox,2.69,86%
227455465228,RBLOT-073026-00022-46528,2026 Bowman Mega Box MUNETAKA MURAKAMI #9 Mojo Refractor RC White Sox,8.69,90%
227455465304,RBLOT-073026-00014-70192,2026 Bowman Mega Box CHASE BURNS #3 Mojo Refractor RC Reds,1.99,86%
227455465381,RBLOT-073026-00020-99749,2026 Bowman ERIC HARTMAN #BCP-102 X-Fractor 1st Prospect Braves,11.59,68%
