ItemID,SKU,Issue(s),Price,Original Title,NEW TITLE (fill in),Listed
226831208878,CDP-F8D7E89,Truncated?,$4.99,2022 Topps Chrome Formula 1 - F1 Racers Lewis Hamilton #6 Checker Flag Refractor,,2025-06-23
226845471348,BS-1005,Truncated?,$1.49,2025 Bowman - Chrome Prospects Cole Fontenelle #BCP-32 Reptilian Refractor (RC),,2025-07-02
226846034392,FB-1375,Truncated?,$3.25,2024 Bowman University Chrome - Justus Ross-Simmons #109 Purple Mini-Diamond RC,,2025-07-02
226847684332,FB-1123,Truncated?,$3.49,2024 Prizm Cade Stover Football Orange Cracked Ice Prizm  Rookie RC Texans #318,,2025-07-03
226869542400,FS-1021,Truncated?,$10.00,2024 Bowman Draft Baseball CHRISTIAN MOORE 1st Prospect Chrome Refractor #BDC-13,,2025-07-16
226869586395,FB-1056,Truncated?,$1.99,2022 Panini Select Draft Picks - Concourse #5 Chris Olave (RC) Buckeyes - Saints,,2025-07-16
226875618285,CDP-C01805C,Truncated?,$24.95,2024 Donruss Optic Rated Rookie DALLAS TURNER Negative Auto /325 #224 Vikings RC,,2025-07-19
226877148681,CDP-73DFC0D,Truncated?,$3.50,2024-25 Panini Prizm Monopoly - Zach Edey #24 Red Ruby Wave Prizm (RC) Grizzlies,,2025-07-20
226883816674,CDP-8D29EA3,Truncated?,$2.99,2025 Topps Series 2 1990 Topps All Stars Chrome Silver Pack Trea Turner 90ASC-9,,2025-07-23
226885303832,SR-1054,Truncated?,$4.99,2024/25 Topps Finest UEFA CC Xavi Simons purple Prism Refractor /299 RB Leipzig,,2025-07-24
226885336691,SR-1047,Truncated?,$6.50,2024-25 Topps Finest UEFA Cole Campbell blue  Raywave Refractor RC /150 Dortmund,,2025-07-24
226887013681,CDP-8E2E469,Truncated?,$1.49,2024 Topps Update #US185 Jhonny Pereda / Emmanuel Ramirez RCOM Gold Rainbow Foil,,2025-07-25
226889690931,CDP-D11287C,Truncated?,$8.75,2024 Select Xavier Legette Rookie Swatches Prizm #RS-XLE RC /125 Patch Panthers,,2025-07-27
226891622900,CDP-05C3845,Truncated?,$7.50,2024 Panini Select Rookie Brian Thomas Jr. Premier Silver Prizm #143 RC Jaguars,,2025-07-28
226895236031,FB-1227-757F240,Truncated?,$2.49,2024 Panini Totally Certified Rookies Max Melton #160 Red Mirror (RC) Cardinals,,2025-07-30
226895238714,FB-1223-2083A6F,Truncated?,$1.79,2024 Panini Totally Certified Rookies Kool-Aid McKinstry #153 Mirror (RC) Saints,,2025-07-30
226895413554,SR-1090,Truncated?,$1.99,2024-25 Panini Select Premier League Mezzanine Wilfred Ndidi #193 Red Ice Prizm,,2025-07-30
226896513851,SR-1088,Truncated?,$6.99,LESLEY UGOCHUKWU 2024 Select Premier League Future Silver Prizm #10 Southampton,,2025-07-31
226901663236,CDP-2117E8C,Truncated?,$2.99,2024 Bowman University Chrome Jordan Hall #104 Michigan State Spartans X-Fractor,,2025-08-03
226911112888,CDP-F5B86B0,Truncated?,$2.49,2024 Panini Donruss - Rated Rookie Jamari Thrash #376 Optic Red Wave Prizm (RC),,2025-08-08
226913624192,i6fgd,Truncated?,$2.99,2024 Donruss Jermaine Burton #368 Optic Rated Rookies Preview Blue Scope Bengals,,2025-08-10
226913624518,i6fic,Truncated?,$11.95,2024 Panini Prestige Chase Brown #60 Xtra Points Signatures Premium Blue Bengals,,2025-08-10
226917653912,CDP-EF6C688-i7p2z,Truncated?,$1.49,2024 Panini Donruss - Rated Rookie Ja'Tavion Sanders #317 Optic Preview Red wave,,2025-08-12
226917654010,CDP-65EC4ED-i7p2v,Truncated?,$1.49,2024 Panini Donruss - Rated Rookie Jonathon Brooks #354 Optic Preview Red  (RC),,2025-08-12
226918758696,ide4f,Truncated?,$2.29,2025 Bowman Dylan Crews #ROY-1 Rookie of the Year Favorites Washington Nationals,,2025-08-13
226918818913,ie8hk,Truncated?,$2.29,2024 Panini Contenders Mike Evans #93 Season Ticket Retail Tampa Bay Buccaneers,,2025-08-13
226918818990,ie8ho,Truncated?,$2.29,2024 Panini Contenders Kyren Williams #60 Season Ticket Retail Los Angeles Rams,,2025-08-13
226922633133,igo8h,Truncated?,$2.50,2025 Bowman Roki Sasaki #ROY-10 Rookie of the Year Favorites Los Angeles Dodgers,,2025-08-15
226924585870,FB-1618-imb9t,Truncated?,$1.59,2024 Donruss Optic Joe Milton III #13 Rookie Primary Colors New England Patriots,,2025-08-16
226927783909,ijmti,Truncated?,$2.59,2024 Bowman University Chrome Davison Igbinosun #54 Pink Lava Refractor Buckeyes,,2025-08-18
226933344629,itzmu,Truncated?,$2.09,2024-25 Panini Revolution Giannis Antetokounmpo #12 Star Gazing Milwaukee Bucks,,2025-08-21
226938746878,FB-1689-itzxk,Truncated?,$1.99,2021 Panini Select Davis Mills #65 Green and Yellow Prizm Die Cut Houston Texans,,2025-08-24
226948323477,j7yp4,"Special chars, Truncated?",$1.99,Gavin Sawchuk 2024 Bowman University Chrome #RM-13 Ramblin’ Man Oklahoma Sooners,,2025-08-29
226950861848,j9voe,Truncated?,$2.00,Dylan Laube 2024 Donruss #372 Optic Rated Rookies Preview Pink Las Vegas Raiders,,2025-08-31
