TransactionType,Description,GrossAmount,Fees,NetAmount,TransactionDate,RunningBalance
Sale,2024-25 Select Stephon Castle Premier RC Blue Cracked Ice Prizm #175 PSA 10,$75.00,$10.74,$64.26,01/28/2026 02:23:52 +00:00,$64.26
Sale,2025 Absolute Travis Hunter Rookie Premiere Jumbo Patch RC Auto #/99 Jaguars,$89.00,$12.56,$76.44,01/28/2026 02:39:09 +00:00,$140.70
Sale,2023 Topps Composite Ricky Williams Chrome Auto Orange Refractor #/25 Dolphins,$41.00,$6.32,$34.68,01/28/2026 04:09:45 +00:00,$175.38
Sale,2024-25 Select Stephon Castle Concourse RC Disco Prizm #72 Spurs PSA 9,$26.36,$4.42,$21.94,01/28/2026 04:09:52 +00:00,$197.32
Sale,2025 Topps Tier One Spencer Strider Prime Performers Auto #/199 Braves,$23.50,$5.22,$18.28,01/28/2026 04:23:47 +00:00,$215.60
Sale,2025-26 Topps Ben Sheppard 1980-81 Auto Orange Rainbow #/25 Pacers,$8.73,$2.74,$5.99,01/28/2026 14:49:41 +00:00,$221.59
Sale,2025 Panini Score Cam Skattebo Rookies RC Signatures Rookie Auto #1 Giants,$45.00,$6.84,$38.16,01/29/2026 07:00:16 +00:00,$259.75
Sale,2024 Topps Allen & Ginter Juan Soto In Action Variations #IA-26 Yankees PSA 9,$10.50,$2.88,$7.62,01/29/2026 12:33:00 +00:00,$267.37
Payout,Requested payout via ACH,-$267.37,$0.00,-$267.37,01/29/2026 14:47:57 +00:00,$0.00
Sale,2024 Zenith Ricky Pearsall Contenders Optic Rookie Ticket Preview Blue Auto #/24,$51.00,$7.62,$43.38,01/30/2026 11:00:23 +00:00,$43.38
Sale,2025 Topps Holiday Tarik Skubal Red Metallic #H74 Tigers,$16.81,$4.02,$12.79,01/31/2026 15:46:56 +00:00,$56.17
Sale,2024 Bowman Chrome Moises Ballesteros Prospect Auto Mega Box Refractor #BMA-MB,$20.50,$4.68,$15.82,02/01/2026 05:03:17 +00:00,$71.99
Sale,2024 Contenders Brian Thomas Jr. Rookie Ticket RPS Auto RC Playoff #/149 Jaguars,$37.00,$5.80,$31.20,02/01/2026 22:00:27 +00:00,$103.19
Payout,Requested payout via ACH,-$103.19,$0.00,-$103.19,02/04/2026 16:04:41 +00:00,$0.00
Sale,2025 Topps Cosmic Chrome Pete Crow-Armstrong Planetary Pursuit Mercury #PPM-9,$107.50,$14.96,$92.54,03/22/2026 01:45:35 +00:00,$92.54
Sale,2023-24 Panini Donruss Optic Scotty Pippen Jr. Signature Series Gold Auto #/10,$21.50,$4.86,$16.64,03/22/2026 02:00:11 +00:00,$109.18
Sale,2025 Topps Cosmic Chrome Marcelo Mayer Planetary Pursuit RC Sun #PPS-10 Red Sox,$20.51,$4.68,$15.83,03/22/2026 02:16:13 +00:00,$125.01
Sale,2025 Topps Pro Debut Dante Nori Chrome Auto Black Refractor #/10,$187.50,$25.36,$162.14,03/22/2026 02:16:14 +00:00,$287.15
Sale,2025 Topps Jacob Wilson RC Orange Diamante Rookie #/25 Athletics PSA 9,$56.00,$8.27,$47.73,03/22/2026 02:26:25 +00:00,$334.88
Sale,2025-26 Topps Chrome VJ Edgecombe RC Negative Refractor Rookie #253 76ers,$100.00,$13.99,$86.01,03/22/2026 03:45:08 +00:00,$420.89
Sale,2020-21 Panini Clearly Donruss Trae Young Retro Rated Rookie 2018 19 #8 PSA 10,$22.50,$5.04,$17.46,03/22/2026 18:45:50 +00:00,$438.35
Payout,Requested payout via ACH,-$438.35,$0.00,-$438.35,03/23/2026 11:47:45 +00:00,$0.00
Sale,2025 Topps Cosmic Chrome Roki Sasaki Planetary Pursuit RC Sun #PPS-6 Dodgers,$32.00,$5.15,$26.85,03/25/2026 20:30:31 +00:00,$26.85
Payout,Requested payout via ACH,-$26.85,$0.00,-$26.85,03/26/2026 15:59:44 +00:00,$0.00
Sale,2024 Topps Update Jim Abbott 1989 Auto #89BA2-JA Angels,$16.50,$3.96,$12.54,03/30/2026 01:04:48 +00:00,$12.54
Sale,2025 Bowman Chrome Shotaro Morii Blue Refractor 1st Prospect #/150 Athletics,$68.00,$9.83,$58.17,03/30/2026 01:15:46 +00:00,$70.71
Sale,2025 Bowman Draft JB Middleton Chrome Auto Gold Shimmer Refractor 1st #/50,$36.09,$5.68,$30.41,03/30/2026 01:16:08 +00:00,$101.12
