*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),*ItemID,ShippingService-1:Option,ShippingService-1:Cost
Revise,227487424485,US_eBayStandardEnvelope,0.99
Revise,227487424486,US_eBayStandardEnvelope,0.99
Revise,227487424487,US_eBayStandardEnvelope,0.99
Revise,227487424488,US_eBayStandardEnvelope,0.99
Revise,227487424489,US_eBayStandardEnvelope,0.99
Revise,227487424490,US_eBayStandardEnvelope,0.99
Revise,227487424491,US_eBayStandardEnvelope,0.99
Revise,227487424492,US_eBayStandardEnvelope,0.99
Revise,227487424493,US_eBayStandardEnvelope,0.99
Revise,227487424494,US_eBayStandardEnvelope,0.99
Revise,227487424495,US_eBayStandardEnvelope,0.99
Revise,227487424496,US_eBayStandardEnvelope,0.99
Revise,227487424497,US_eBayStandardEnvelope,0.99
Revise,227487424498,US_eBayStandardEnvelope,0.99
Revise,227487424499,US_eBayStandardEnvelope,0.99
Revise,227487424500,US_eBayStandardEnvelope,0.99
Revise,227487424501,US_eBayStandardEnvelope,0.99
Revise,227487424502,US_eBayStandardEnvelope,0.99
Revise,227487424503,US_eBayStandardEnvelope,0.99
Revise,227487424504,US_eBayStandardEnvelope,0.99
Revise,227487424506,US_eBayStandardEnvelope,0.99
Revise,227487424507,US_eBayStandardEnvelope,0.99
Revise,227487424508,US_eBayStandardEnvelope,0.99
Revise,227487424509,US_eBayStandardEnvelope,0.99
Revise,227487424510,US_eBayStandardEnvelope,0.99
Revise,227487424511,US_eBayStandardEnvelope,0.99
Revise,227487424512,US_eBayStandardEnvelope,0.99
