*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),*ItemID,CustomLabel
Revise,227487428897,POOKIEWHT-08-15-26-00001-15twa4
Revise,227487428898,POOKIEWHT-08-15-26-00002-15twa7
Revise,227487428899,POOKIEWHT-08-15-26-00003-15twa2
Revise,227487428900,POOKIEWHT-08-15-26-00004-15twaa
Revise,227487428901,POOKIEWHT-08-15-26-00005-15twa5
Revise,227487428902,POOKIEWHT-08-15-26-00006-15twau
Revise,227487428903,POOKIEWHT-08-15-26-00007-15twai
Revise,227487428905,POOKIEWHT-08-15-26-00008-15twah
Revise,227487428906,POOKIEWHT-08-15-26-00009-15twao
Revise,227487428907,POOKIEWHT-08-15-26-00010-15twbq
Revise,227487428908,POOKIEWHT-08-15-26-00011-15twbx
Revise,227487428909,POOKIEWHT-08-15-26-00012-15twan
Revise,227487428910,POOKIEWHT-08-15-26-00013-15twb9
Revise,227487428911,POOKIEWHT-08-15-26-00014-15tw9y
Revise,227487428912,POOKIEWHT-08-15-26-00015-15twam
Revise,227487428913,POOKIEWHT-08-15-26-00016-15twc4
Revise,227487428914,POOKIEWHT-08-15-26-00017-15twa3
Revise,227487428915,POOKIEWHT-08-15-26-00018-15twae
Revise,227487428916,POOKIEWHT-08-15-26-00019-15twc6
Revise,227487428917,POOKIEWHT-08-15-26-00020-15twaf
Revise,227487428918,POOKIEWHT-08-15-26-00021-15twbm
Revise,227487428919,POOKIEWHT-08-15-26-00022-15twa8
Revise,227487428920,POOKIEWHT-08-15-26-00023-15twbc
Revise,227487428921,POOKIEWHT-08-15-26-00024-15twb6
Revise,227487428922,POOKIEWHT-08-15-26-00025-15twad
Revise,227487428923,POOKIEWHT-08-15-26-00026-15twac
Revise,227487428924,POOKIEWHT-08-15-26-00027-15twap
Revise,227487428925,POOKIEWHT-08-15-26-00028-15twb0
Revise,227487428926,POOKIEWHT-08-15-26-00029-15twax
Revise,227487428927,POOKIEWHT-08-15-26-00030-15twak
Revise,227487428928,POOKIEWHT-08-15-26-00031-15twbk
Revise,227487428929,POOKIEWHT-08-15-26-00032-15twbr
