*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),*ItemID,CustomLabel
Revise,227487424485,POOKIEWHT-08-15-26-00033-15twas
Revise,227487424486,POOKIEWHT-08-15-26-00034-15twar
Revise,227487424487,POOKIEWHT-08-15-26-00035-15twav
Revise,227487424488,POOKIEWHT-08-15-26-00036-15twb4
Revise,227487424489,POOKIEWHT-08-15-26-00037-15twb8
Revise,227487424490,POOKIEWHT-08-15-26-00038-15twba
Revise,227487424491,POOKIEWHT-08-15-26-00039-15twbe
Revise,227487424492,POOKIEWHT-08-15-26-00040-15twbg
Revise,227487424493,POOKIEWHT-08-15-26-00041-15twbi
Revise,227487424494,POOKIEWHT-08-15-26-00042-15twbp
Revise,227487424495,POOKIEWHT-08-15-26-00043-15twbj
Revise,227487424496,POOKIEWHT-08-15-26-00044-15twbs
Revise,227487424497,POOKIEWHT-08-15-26-00045-15twbo
Revise,227487424498,POOKIEWHT-08-15-26-00046-15twbu
Revise,227487424499,POOKIEWHT-08-15-26-00047-15twbt
Revise,227487424500,POOKIEWHT-08-15-26-00048-15twby
Revise,227487424501,POOKIEWHT-08-15-26-00049-15twbv
Revise,227487424502,POOKIEWHT-08-15-26-00050-15twc0
Revise,227487424503,POOKIEWHT-08-15-26-00051-15twc1
Revise,227487424504,POOKIEWHT-08-15-26-00052-15twbz
Revise,227487424506,POOKIEWHT-08-15-26-00053-15twc3
Revise,227487424507,POOKIEWHT-08-15-26-00054-15twc2
Revise,227487424508,POOKIEWHT-08-15-26-00055-15twc7
Revise,227487424509,POOKIEWHT-08-15-26-00056-15twc5
Revise,227487424510,POOKIEWHT-08-15-26-00057-15twc8
Revise,227487424511,POOKIEWHT-08-15-26-00058-15twca
Revise,227487424512,POOKIEWHT-08-15-26-00059-15twc9
