confidence,card,cond,qty,collx_ask,ebay_sold_for,ebay_date,location,collx_id,ebay_title
High,2025 Sophie Cunningham #63,RAW,1,7.0,$19.75,Jul-12-26,,1106822475400514560,2025 Panini WNBA Prizm SOPHIE CUNNINGHAM #63 Pink /175 Fever
High,2024 LIONEL MESSI #10,PSA 9,1,125.0,$4.00,May-06-26,,1101223984940383232,2024-25 Donruss Lionel Messi #10 Magicians Argentina
High,2025 Charles McAdoo #BCP-150,RAW,1,8.0,$2.85,Apr-27-26,,1101072124602416128,2025 Bowman Sapphire Edition Charles Mcadoo #BCP-150 Toronto Blue Jays
High,2026 Roman Anthony #18,RAW,1,3.0,$3.20,Jul-02-26,,1091810373418332160,2026 Bowman Mega Box ROMAN ANTHONY #18 Chrome Mojo Refractor RC Red Sox Rookie
High,2025 Malcolm Moore #BDC-191,RAW,1,1.5,$1.38,Jun-18-26,,1072746286721276928,2025 Bowman Draft Sapphire MALCOLM MOORE #BDC-191 Chrome Rangers
High,2025 Ethan Petry #BDC-151,RAW,1,1.55,$1.75,Jun-03-26,,1072746265120611328,2025 Bowman Draft ETHAN PETRY #BDC-151 Chrome Refractor 1st Prospect Nationals
High,2025 Ethan Frey #BDC-67,RAW,1,1.25,$3.99,Apr-16-26,,1072746269784677376,2025 Bowman Draft Ethan Frey #BDC-67 Chrome X-Fractor 1st Prospect Astros
High,2025 Kaleb Wing #BDC-131,RAW,1,5.0,$4.00,May-23-26,,1072746253116513280,2025 Bowman Draft Sapphire KALEB WING #BDC-131 Chrome 1st Prospect Cubs
High,2025 Malachi Witherspoon #BDC-172,RAW,1,2.0,$1.75,May-24-26,,1072746239879289856,2025 Bowman Draft Sapphire Malachi Witherspoon #BDC-172 Chrome 1st Prospect
High,2025 Caleb Leys #BDC-195,RAW,1,2.0,$2.00,May-26-26,,1072746235785649152,2025 Bowman Draft Sapphire CALEB LEYS #BDC-195 Chrome 1st Prospect Tigers
High,2025 Aaron Watson #BDC-193,RAW,1,11.0,$1.49,Apr-28-26,,1072746212087831552,2025 Bowman Draft Sapphire Aaron Watson Chrome 1st Prospect #BDC-193 Reds
High,2025 Travis Sykora #BDC-137,RAW,1,2.0,$2.00,May-24-26,,1072746216382798848,2025 Bowman Draft Sapphire TRAVIS SYKORA #BDC-137 Chrome Nationals
High,2025 Braden Montgomery #BDC-18,RAW,2,2.0,$2.00,Jun-02-26,,1072746204580027392,2025 Bowman Draft Sapphire BRADEN MONTGOMERY #BDC-18 Chrome White Sox
High,2025 Ethan Frey #BDC-67,RAW,1,5.0,$3.99,Apr-16-26,,1072746189547641856,2025 Bowman Draft Ethan Frey #BDC-67 Chrome X-Fractor 1st Prospect Astros
High,2025 Colin Yeaman #BDC-47,RAW,1,2.0,$2.99,Jul-09-26,,1072746193540619264,2025 Bowman Draft Sapphire COLIN YEAMAN #BDC-47 Chrome 1st Prospect Orioles
High,2025 Kane Kepley #BDC-200,RAW,1,7.0,$5.50,Jun-19-26,,1072746181645573120,2025 Bowman Draft Kane Kepley #BD-200 Sky Blue Border Chicago Cubs #/499
High,2025 Caleb Leys #BDC-195,RAW,1,5.25,$2.00,May-26-26,,1062754457546322944,2025 Bowman Draft Sapphire CALEB LEYS #BDC-195 Chrome 1st Prospect Tigers
High,2025 Carlos Lagrange #BDC-132,RAW,1,3.5,$19.95,May-10-26,,1062754403750179840,2025 Bowman Draft Carlos Lagrange #BDC-132 Chrome Purple Geometric Ref /250
High,2025 Kevin McGonigle #BDC-59,RAW,1,15.0,$2.00,May-10-26,,1062754357889659904,2025 Bowman Draft KEVIN MCGONIGLE #BDC-59 Chrome Tigers
High,2025 Bryce Eldridge #BCP-180,RAW,1,2.99,$6.00,May-05-26,,1062754353359811584,2025 Bowman Chrome Bryce Eldridge #BCP-180 Prospects Fuchsia Geometric /299
High,2025 Eli Willits #BDN-1,RAW,1,1.5,$3.00,May-08-26,,1061304663392948224,2025 Bowman Draft ELI WILLITS #BDC-1 Chrome 1st Prospect Nationals
High,2025 JoJo Parker #BDC-8,RAW,1,3.5,$3.50,Apr-19-26,,1061304645147725824,2025 Bowman Draft JoJo Parker #BDC-8 Chrome Mojo Refractor 1st Prospect
High,2025 Cris Rodriguez #BCP-250,RAW,1,1.69,$1.69,Jul-02-26,,1061304648729661440,2025 Bowman Chrome CRIS RODRIGUEZ #BCP-250 1st Prospect Tigers
High,2025 Ethan Petry #BDC-151,RAW,1,1.75,$1.75,Jun-03-26,,1061304587492823040,2025 Bowman Draft ETHAN PETRY #BDC-151 Chrome Refractor 1st Prospect Nationals
High,2025 Colin Yeaman #BDC-47,RAW,1,1.0,$2.99,Jul-09-26,,1061304579691417600,2025 Bowman Draft Sapphire COLIN YEAMAN #BDC-47 Chrome 1st Prospect Orioles
High,2025 Cris Rodriguez #BCP-250,RAW,1,1.69,$1.69,Jul-02-26,,1061304575639719936,2025 Bowman Chrome CRIS RODRIGUEZ #BCP-250 1st Prospect Tigers
High,2025 Nick Kurtz #42,RAW,1,2.0,$2.99,Jul-09-26,,1061304543318413312,2025 Bowman's Best NICK KURTZ #42 RC Athletics Rookie
High,2025 Ethan Frey #BDC-67,RAW,1,5.0,$3.99,Apr-16-26,,1061304494597378048,2025 Bowman Draft Ethan Frey #BDC-67 Chrome X-Fractor 1st Prospect Astros
High,2025 Nick Kurtz #P-8,RAW,1,6.0,$6.00,Jun-06-26,,1061304498917511168,2025 Bowman's Best NICK KURTZ #P-8 Pixel Portraits RC Athletics
High,2025 Eli Willits #BDC-1,RAW,1,3.0,$3.00,May-08-26,,1061304481888636928,2025 Bowman Draft ELI WILLITS #BDC-1 Chrome 1st Prospect Nationals
High,2025 Eli Willits #A-1,RAW,1,1.0,$3.00,May-08-26,,1061304469842595840,2025 Bowman Draft ELI WILLITS #BDC-1 Chrome 1st Prospect Nationals
High,2025 Jacob Wilson #31,RAW,2,2.01,$1.99,May-16-26,,1061304465455353856,2025 Bowman's Best JACOB WILSON #31 Refractor RC Athletics
High,2025 Caden Bodine #BDC-63,RAW,1,1.85,$1.59,May-14-26,,1059872909126002688,2025 Bowman Draft CADEN BODINE #BDC-63 Chrome Refractor 1st Prospect Orioles
High,2025 Bryce Cunningham #BDC-155,RAW,1,1.5,$4.00,May-02-26,,1059872883985344512,2025 Bowman Draft Bryce Cunningham #BDC-155 Chrome Green Refractor 98/99 Yankees
High,2025 Caleb Bonemer #BDC-184,RAW,1,1.49,$2.10,Jun-19-26,,1059872871318546432,2025 Bowman Draft CALEB BONEMER #BDC-184 Chrome Sparkle Refractor White Sox
High,2025 David Sandlin #BCP-195,RAW,1,2.25,$2.00,May-28-26,,1059872875470907392,2025 Bowman Chrome David Sandlin #BCP-195 Mini Diamond Refractor 1st Prospect
High,2025 Steele Hall #BDC-20,RAW,1,5.0,$16.50,Jun-24-26,,1059872862804109312,2025 Bowman Draft Steele Hall #BDC-20 Chrome Aqua Reptilian Refractor /125
High,2025 Nick Kurtz #BS-2,RAW,1,5.85,$12.00,May-24-26,,1059872854809765888,2025 Bowman's Best Nick Kurtz #BS-2 Showpieces Mini Diamond Refractor RC
High,2025 JT Quinn #BDC-85,RAW,1,1.75,$4.99,Jul-09-26,,1059872828771526656,2025 Bowman Draft Sapphire JT QUINN #BDC-85 Chrome 1st Prospect Orioles
High,2025 Konnor Griffin #IT-8,RAW,1,15.0,$15.00,May-28-26,,1054272341651492864,2025 Bowman Chrome Konnor Griffin #IT-8 It Came to the League Pirates
High,2005 Kobe Bryant #38,RAW,1,6.5,$10.00,May-18-26,,1054272321149734912,2005-06 Upper Deck Hardcourt Kobe Bryant #38 Lakers
High,2019 Jayson Tatum #190,RAW,1,5.0,$2.00,Jun-04-26,,1054272296042631168,2019-20 Panini Select Jayson Tatum #190 Red Wave Prizms Premier Level Celtics
High,2025 Gavin Kilen #BDC-40,RAW,1,2.0,$6.99,May-16-26,,1050399908413324288,2025 Bowman Draft Sapphire GAVIN KILEN #BDC-40 Chrome 1st Prospect Giants
High,2025 Ethan Conrad #BDC-17,RAW,1,3.25,$10.00,Apr-15-26,,1050399903958973440,2025 Bowman Draft Ethan Conrad #BD-17 Blue Border /150 1st Prospect Cubs
High,2025 Charlie Condon #P-6,RAW,1,1.99,$1.99,May-16-26,,1048879163692294144,2025 Bowman's Best Charlie Condon #P-6 Pixel Portraits Rockies
High,2025 Ace Bailey #YQ-5,RAW,1,4.0,$1.00,May-12-26,,1043923560186560512,2025-26 Topps Finest Ace Bailey #5 Common RC Jazz
High,2025 Caitlin Clark #57,RAW,1,18.0,$15.00,Apr-29-26,,1043923548694167552,2025 Panini Caitlin Clark Chronicled #57 Life Style Green Holo Fever
High,2025 Caitlin Clark #48,RAW,1,2.69,$2.69,Apr-20-26,,1043923533250740224,2025 Panini Caitlin Clark Chronicled #48 WNBA Holo Fever
High,2026 Shohei Ohtani #SMLB-9,RAW,1,3.0,$2.50,May-05-26,,1035799612015966208,2026 Topps Shohei Ohtani #PAS-9 Perennial All-Stars Dodgers
High,2024 Ariel Armas #BDC-109,RAW,1,2.25,$2.00,Jun-28-26,,1034549103916441600,2024 Bowman Draft Sapphire Edition Ariel Armas #BDC-109 Chicago Cubs
High,2025 Josh Knoth #BCP-136,RAW,1,2.0,$1.75,May-21-26,,1033779090417265664,2025 Bowman Sapphire Edition Josh Knoth #BCP-136 Milwaukee Brewers
High,2025 Joshua Kuroda-Grauer #PD-35,RAW,1,1.69,$1.55,Jun-29-26,,1033049413441258496,2025 Topps Pro Debut Joshua Kuroda-Grauer #PD-35 Aviators
High,2025 James Wood #29b,RAW,1,3.99,$2.50,Jul-02-26,,1033049271396959232,JAMES WOOD 2025 Bowman #29 Mojo Washington Nationals
High,2025 Andrew Salas #BCP-156,RAW,1,3.0,$3.00,Jul-02-26,,1025525805346196480,2025 Bowman Chrome ANDREW SALAS #BCP-156 Prospects Mini-Diamond Miami Marlins
High,2025 Kade Anderson #TP-6,RAW,1,5.0,$11.00,May-01-26,,1024286465553907712,2025 Bowman's Best Kade Anderson #TP-6 Top Prospects Purple Refractor /250
High,2025 Jacob Wilson #31,RAW,1,6.0,$1.99,May-16-26,,1024286440002207744,2025 Bowman's Best JACOB WILSON #31 Refractor RC Athletics
High,2025 Russell Westbrook #15,RAW,1,7.0,$7.00,Jun-04-26,,1023517766776276992,2025-26 Topps Chrome Russell Westbrook #15 Teal Refractor Denver Nuggets #/299
High,2025 Allen Iverson #M-1,RAW,1,13.0,$6.45,Jul-06-26,,1023517709440141312,2025-26 Topps Finest ALLEN IVERSON #M-1 Muse X-fractor 76ers Basketball
High,2025 Cedric Coward #F-11,RAW,1,10.0,$1.75,May-09-26,,1023517698199406592,2025-26 Topps Finest Cedric Coward #11 Common RC Grizzlies
High,2025 Victor Wembanyama #FI-1,RAW,1,12.0,$16.00,Jun-10-26,,1023517628154529792,2025-26 Topps Finest Victor Wembanyama #FI-1 Finishers Refractor Spurs
High,2025 Ryan Wideman #BDC-190,RAW,1,2.0,$3.99,Apr-28-26,,1022755558670193664,2025 Bowman Draft Ryan Wideman #BDC-190 Chrome Lazer Refractor 1st Prospect
